PERU	Andean land
PCS	Mac alternatives
ERA	Never-ratified women-related measure, for short
ROYROGERS	King of the Cowboys
UPBOW	Violinist's stroke
DRAG	Race for hot rods
DIETSODA	Coca-Cola Zero, e.g.
ROBS	Rips off
ANY	"___ better?"
GEESE	Fliers in V's
UNCAP	Open, as a pill bottle
UNDERPAR	Like a good golf score
NEW	Novel
CHERI	Dear, in 12-Down
ARLES	Van Gogh locale
PULLS	Attracts
CROP	Photoshop option
IONE	Actress Skye
NEHRU	Indira Gandhi's family name
SAYBYEBYE	*Bid adieu, informally
YOLK	Fatty part of an egg
DWELL	Live
ROOTS	Family beginnings
SSE	Boise-to-Phoenix dir.
SAC	___ fly (certain baseball hit, for short)
REL	Thanksgiving invitee, commonly: Abbr.
PROWLS	Is on the hunt
PLEAD	Answer, in court
ROLFE	Husband of Pocahontas
NEARMISS	*Failure by a narrow margin
NOTASTE	Characteristic of bland food and bad dressers
MUSIC	Swing or rock
LOG	Captain's record
KOKO	Gorilla famously taught to use sign language
KONA	Coffee cultivated on Mauna Loa
CPU	"Brain" of a computer, briefly
ELEV	Topographic map notation: Abbr.
VITAL	Life-or-death
DOTE	Lavish affection (on)
EMIR	Mideast noble
ASSES	Beasts of burden
SCOOPNECK	Cleavage-revealing dress feature
EARLE	Hall-of-Famer Combs who played with Gehrig and Ruth
SNEER	Malfoy's look, in the Harry Potter books
AFRICANAMERICAN	*Like Oprah Winfrey and Michael Jordan
CEREMONY	The Changing of the Guard, e.g.
EPITOMES	Abstracts
DESTE	Villa ___
ASIP	Take ___ of (sample)
CORE	Where a pear's seeds are
ARM	Spot for a shot
MPS	Brit. legislators
TRIM	Not a major haircut
MARC	Painter Chagall
OLE	Flamenco cry
APPLEPIE	*It's often ordered à la mode
AFLAT	Chopin's "Polonaise in ___ Major, Op. 53"
PRIDE	Group of lions
PONDS	Places for ornamental fish
INDIA	Neighbor of Bhutan
TAMPER	Meddle (with)
MALES	No enrollees at Smith College
FRO	'Do that one would rarely wear a hat with
MSN	Online portal since Windows 95 was launched
KORAN	Book of divine guidance
KNEE	Joint for a beggar?
LINGO	Argot
GOT	Caught
DONMCLEAN	Singer of the lyric formed by the ends of the answers to the four starred clues
ODD	Bizarre
AHA	"I caught you!"
NOT	Word after waste and want
ADDON	Building wing, e.g.
IDEE	French brainchild
ECHO	It may be off the wall
TESTY	Irritable
ADES	Fruity drinks
SKAT	Card game popular in Germany
