RIPE	Ready
REPO	Defaulter's loss
IMUS	Stern competitor
PUNICILLIN	Cure for sick jokes?
ESTERS	Fragrant compounds
DEEPS	Vast extents
DAMS	Farm mothers
EWE	Farm mother
EATENUP	Totally gone
PIERRE	Coyote State capital
STREEP	"Sophie's Choice" Oscar winner
RIFT	Break in relations
RIGHTNOW	"Stat!"
IDLE	Like some rumors
FEAR	Four Freedoms subject
TADA	"Behold!"
EMUS	Cassowary cousins
AWAIT	Look for
IDEA	Sneaking suspicion
PUNTAMETER	Humor in its verse possible form?
ARI	Uris hero
GLAD	Showy flower, for short
OSIERS	Basket twigs
ERE	Poetic palindrome
HERA	Wife of Zeus
CRI	Dernier ___
UNREST	Prerevolutionary state
ULEE	1997 Fonda role
SUPER	Fab
PIS	Parts of geometry calculations
POILU	W.W. I French soldier
BLUEPUNCIL	Edit comedy scripts?
BEG	Seek spare change
COPUNHAGEN	Witticism capital?
INUSE	"Ocupado"
LABS	Where cures are discovered
SOL	Scale member
STEP	Stage
BEEP	Summon, in a way
BASAL	___ metabolism
POONA	City ESE of Bombay
TILLAGE	Plowed land
LAMPREYS	Eel look-alikes
BREWPUB	It creates drafts
BOIS	___ de Bologne (park west of Paris)
RAP	Grammy category
ELIAS	Disney's middle name
SOAR	Plummet's opposite
SHERPAS	Hillary supporters
USS	___ Missouri
PUNMANSHIP	Comedy writing?
NAPALM	Flamethrower fuel
STAPLE	Bread or butter
ONE	"___ China" policy
OCTAVE	Pianist's span
PLATES	Full-service components?
OCH	Gaelic "Gee!"
OLD	Getting on
ICER	Petit four finisher
IOWA	Caucus state
COIL	Slinky, basically
EZRA	Browning's "Rabbi Ben ___"
PAR	When it's broken, that's good
ALTARS	Wedding sites
ANAS	Literary collections
RENO	City near Sparks
SSTS	Tu-144 and others
OOZE	Move like molasses
APPUNDAGES	Joke postscripts?
UMA	Actress Thurman
WIRY	Lean and sinewy
LLAMA	Wool source
VENT	Blow off steam
ALAS	Word for Yorick
MESAS	Badlands formations
ENOS	Son of Seth
