RAMIS	Harold of "Ghostbusters"
RAPID	Swift
ALINE	1950s Dior dress style
MACAW	Bird important in Mayan symbology
ICKY	Very unpleasant
SKYE	___ terrier
STEEL	"Stainless" metal
SNARE	Trap
TOT	Tyke
EWES	Providers of sheep's milk
EARMARK	Politician's add-on
LYSOL	Disinfectant brand
KAT	Krazy ___
KWIKEMART	Store on TV that sells KrustyO's cereal
AONE	Super-duper
TEND	Care for, with "to"
ALACK	"Alas and ___"
NOWAY	"You gotta be kidding me!"
WOE	Misery
PICKYEATERS	They're choosy about what they chew
EAST	Sunup direction
INN	Quaint lodging
INAYEAR	12 months from now
SMOCKED	Dressed in lab attire
COOLCAT	Beat Generation persona
DEW	Morning droplets
SEW	Use a Singer machine
WHINING	Annoying complaining
ALOE	___ vera
SST	Mach 1 breaker
SALIENT	Noteworthy
SNAP	Lose it
HUR	"Ben-___"
UCLA	The Bruins of the N.C.A.A.
OMSK	Siberian city
SKEE	___-Ball (arcade game)
KEDS	Some colorful sneakers
JAVAN	Certain Indonesian
JAWS	Highest-grossing film before "Star Wars"
AVIA	Adidas alternative
VIKKICARR	"It Must Be Him" singer, 1967
RICKILAKE	Sensational 1990s-2000s talk show host
REDS	Ruby and scarlet
IAMA	"___ Rock" (Simon & Garfunkel hit)
AVILA	Walled city near Madrid
ENL	Blown-up photo: Abbr.
ACRED	Many-___ (large, as an estate)
WIKIPEDIA	Popular online reference
EMERITA	Retired, as a female professor
MATES	Couples (with)
SAKE	Drink at a sushi bar
MSN	AOL alternative
FAT	Round about the belly
FOXY	Cunning
INRE	Concerning, on a memo
REMET	Convened anew, as the Senate
GRO	Miracle-___ (garden care brand)
REELS	Projector items
MRE	G.I. grub
MAUDE	Bea Arthur role
RISEN	No longer in bed
EMEND	Alter, as text
LECTERN	Speaker's stand
LEAH	Sister of Rachel
ERIE	Upstate New York's ___ Canal
NCAR	Raleigh's home: Abbr.
EXCLAIM	Say "Holy cow!" or "Hot dog!"
CMON	"Get the lead out!"
LOGO	The Olympic rings, e.g.
ERA	___ of Good Feelings, 1817-25
MICKEYMOUSE	Walt Disney creation
KIT	Collection of items for a modelist
AIR	Tire fill
ETAIL	Sell online
OGDEN	Nash who wrote "I don't mind eels / Except as meals"
HER	"On ___ Majesty's Secret Service"
TARTS	Small baked desserts
NOEND	Interminably
