WALESA	Solidarity leader
WAWA	Toddler's cry when thirsty
ABOO	See 29-Down
LURK	Lie unobserved
ESKIMO	Nunavut native
SEI	Twice tre
ASSUAGE	Mollify
AMCS	Gremlins, Pacers and others
ASHES	Grateful?
MME	Tussaud's title: Abbr.
CURATOR	Exhibition overseer
STUCCO	Exterior finish
ASI	"___ recall ..."
AINT	"Is so!" retort
SNOW	Pre-cable woe
INFO	Stats, e.g.
ABUSES	Takes to excess
SMUT	Blue matter
INN	B & B
WORKISTHERUINOF	Start of a quote by 26- and 32-Down
TAN	Spank but good
ITURBI	Pianist José
AOKI	Golfer Isao ___
UAE	Abu Dhabi's fed.
ACTTWO	Intermission follower
MEANS	Wherewithal
ENVY	Green-eyed monster
TCU	Fort Worth inst.
OBLONG	Shaped like a plum tomato
OSCAR	See 17-Across
BRUNO	___ Magli shoes
LIBYA	Tripoli's land
POORLAW	Relief measure of Elizabethan times
PEEK	With 2-Down, toddler's game
LANAI	Maui veranda
ALAIN	Actor Delon
WILDE	See 17-Across
SRI	___ Lanka
VETOER	Bill killer
TTOP	Sporty car roof
OHO	"Well, whaddya know?!"
BALI	Java neighbor
CUBBY	Cramped space
BADMEN	Outlaws
THE	Quote, part 2
FINAL	Event before vacation, maybe
FRET	Feature of some necks
ANYA	Author Seton
COOKER	Slow-pot
CARDIAC	Heart-related
EDIBLES	They're fit to consume
AID	Give a boost to
ROADMAP	Plan for peace, in modern lingo
MEEKER	Not so bold
DEVINE	Andy of TV's "Andy's Gang"
VASSAR	Poughkeepsie college
MER	Water on la Côte d'Azur
EVITA	Musical with the song "On This Night of a Thousand Stars"
EDGES	Beats (out)
VAC	Oreck, e.g., in brief
EXCEED	Go over
EDNA	Mystery author Buchanan
XRAY	Inside look?
CIGS	Smokes
DAB	Tiny bit
SABE	Kemo ___
ASTA	"The Thin Man" dog
BEEF	Bone to pick
ESSE	Start of North Carolina's motto
DRINKINGCLASSES	End of the quote
NSA	Cryptologist's org.
ALT	PC key
NAG	Track pick, informally
EASE	Complacency
ELATES	More than pleases
AYS	Cries of regret
RCAS	Some TV's
STRAFE	Attack from above
