STEER	Use a joystick
STAG	One way to go to a party
TAKEA	Lead-in to bath or powder
ENROLL	Join
ENORME	Massive, in Marne
RINGOFFIRE	Country standard that begins "Love is a burning thing"
CANAAN	Biblical figure who received the curse of Ham
COVEY	Quail flock
ASIN	Words of clarification
NEONSIGN	Strip teaser?
ANNEALED	Toughened
ASITWERE	Seemingly
NECTARS	Workers may be drawn to them
TANNIC	Somewhat astringent, as wine
COINTOSS	What can give you a heads-up?
NOSENSE	What a yo-yo might make
NABOB	Big shot
AKRONOH	City where A.A. was founded
HADJIS	Some pilgrims
AVIONIC	Like collision avoidance systems
GEORGIA	"Driving Miss Daisy" setting
BENNETT	Conservative pundit with a daily morning radio show
ALMONDJOY	Popular bar since 1946
JALISCO	Lake Chapala's state
SAWA	"I never ___ moor": Emily Dickinson
LEFTJAB	Delivery that may floor you
PILER	One doing laundry, often
PAYPERVIEW	Ordered programming
FOIL	Wrap in sheets
WAGERS	They're on the books
WHITENED	Bleached
CHRISSIEHYNDE	The great Pretender?
CLOSESET	Like an owl's eyes
HIRAGANA	Set of cursive Japanese symbols
RESTRING	Fix, as a bow
ENURED	Toughened
PLIERS	Things to come to grips with?
PHILIPS	Big name in home theaters
SNIP	Sound made while working on a mop
HORSE	Basketball shooting game
ACUTEST	Maximally intense
ATMOS	___ Energy (big natural gas utility)
SOIGNE	Elegantly groomed
TOONIE	It's worth a couple of bucks in Canada
ISAT	"Alice ___ It Again" (Noel Coward song)
STOREROOM	Pantry
SONES	Acoustics measures
MUTED	Soft, now
LEGROOM	What a compact often lacks
ODIE	His vet is Liz Wilson
ENVIOUS	Green
SODS	Rolls out for sale at a nursery
ISAIDNO	Reply to a pushy person
DEIGNTO	Think worthy of doing
PENNIES	Change, at times
DENIED	Turned down
STAGES	What big projects are usually done in
WEEDS	Tough row to hoe?
