PGS	Family-friendly ratings
PDQBACH	Composer of "Oedipus Tex" and "A Little Nightmare Music"
GOUACHE	Opaque watercolor technique
SEASCALLOPS	The "surf" in some surf 'n' turf dinners
FEB	Natl. Grapefruit Mo.
FORTE	Strength
ELF	Seasonal worker
BEL	Ann Patchett novel "___ Canto"
IAM	"How Dry ___"
ITALO	Author Calvino
ARTY	So SoHo
MASC	Neither fem. nor neut.
POMADE	Fragrant hair ointment
PRIMES	Prepares, as a surface for painting
OCTO	Prefix with -pod
MAAS	"Serpico" author
ALTO	Violist's clef
DEEM	Judge
ESSE	Latin 101 verb
DOES	They may go for big bucks
SKA	Cousin of reggae
OLESTRA	Fat substitute
SOFTY	Pushover
PERCALES	Ones fit for kings and queens?
PARISIAN	Arrondissement resident
EGOS	Bruisable things
QUAKERFLOATS	Attractions at the Thanksgiving parade in old Pennsylvania?
ELKE	Berlin-born Sommer
AGITATES	Disturbs
BASALT	Volcanic rock
FLYCHROMOSOME	Holder of an insect's DNA?
HOPPER	Drawing site
ACC	Big Ten rival: Abbr.
KEEPTO	Not waver from
ESTE	Italian noble family name
PHARAOH	Exodus figure
OISE	Chantilly's department
CHASE	Go after
SPECIALTIES	Neurology, oncology, cardiology, etc.
SHY	Not likely to pose nude
TSPS	Recipe amts.
TKO	Round stopper, for short
SIDE	Fries or slaw
SITTER	Many a vacationer's need
ISL	Archipelago unit: Abbr.
THATSNOJOKE	"I'm serious!"
TUBE	Bazooka part
ELBA	Portoferraio is its chief town
RAYS	You can catch them on a beach
HELP	Fab Four film
ETA	Fraternity letter
ETRE	Raison d'___
SKIPIT	"Don't bother!"
STRUT	Building support
TRIPP	Linda in 1990's news
SHULA	Longtime Dolphins coach
LETTERSTODEARFLABBY	Syndicated advice column from a couch potato?
TANYA	Singer Tucker
SINO	___-American relations
FEU	French fire
TWOCAR	Kind of garage
TRE	Three, to Amati
WES	Craven who directed "Swamp Thing"
AIR	Mattress filler
ERNIE	Kooky Kovacs
TEAS	Leaves after a meal?
REPINE	Complain
ONUS	Weight
SOL	Fifth of a scale
PUBS	Dublin hangouts
BITER	Snake, by nature
ESSAY	Opinion piece
PHOTOFLOP	Reverse image?
PEARL	Unit of wisdom?
FILCH	Pilfer
LAIC	Of the flock
ORIOLES	1983 World Series champs
INFER	Deduce
FOOLISHNESS	Stupidity
ELI	The "E" of R.E.O. Speedwagon
REN	Stimpy's cartoon pal
LAME	Dress material for a ball
MIT	Cambridge sch.
LIAR	Make-up person?
OTOOLE	"The Lion in Winter" star, 1968
ORTS	Leftovers for Fido
EAST	What the Lincoln Memorial faces
EFTS	New newts
ALOE	Skin care item
SASE	Postpaid encl.
IAMBI	Poets' feet
MAINLINE	Suburban Philadelphia area
BFLATS	Notes hit by divas
IFIT	"___ ain't broke ..."
LII	Two years before Claudius was murdered
REJOIN	Undo a secession
FLAIRTRAFFICCONTROL	Office manager's oversight of felt-tip pens?
RAT	No-goodnik
ITE	Resident: Suffix
NETS	The pucks stop here
TOSEA	Captain's order
LILITH	Adam's first wife, in Jewish folklore
LES	Article in France-Soir
KIRK	Captain of 1960's TV
ROBERTA	Diva Peters
KNOSSOS	Site of King Minos' palace
SEESTO	Handles
OWLETS	Wide-eyed young 'uns
NATE	___ the Great (boy detective)
BET	Parlor transaction
BOYDS	Western actor William et al.
MESON	Fundamental physics particle
MRIS	Dr.'s orders
WALT	Disney or Whitman
AHAT	"The Man Who Mistook His Wife for ___" (Oliver Sacks book)
TOSSER	Pitcher
TRADE	Profession
ELUTE	Rinse, as with a solvent
HBO	"Oz" network
FLORALHISTORY	Background of roses, irises, etc.?
FLAW	Bug, to so speak
LINA	Director Wertmuller
OMIT	Leave off
RASE	Flatten, in Falmouth
ABER	But, to Brahms
THAI	Pad ___ (noodle dish)
OEDS	Ref. volumes
LIANES	Woody vines
AHA	"So you're the culprit!"
LIMABEAN	Stew morsel
HEADFLUSHERS	Ones using "the facilities"?
FAA	Plane watcher: Abbr.
LLB	Barrister's deg.
ANISETTE	Cordial
ADDSALT	Season, in a way
ASTO	"Now, about ..."
WATERS	Does greenhouse work
ISE	Suffix with expert
ABE	Actor Vigoda
SAS	Carrier to Oslo
