PALOOKA	Lummox
PSALMS	Book with 150 chapters
ATNOON	When two hands meet
LATINO	Peruvian, e.g.
ONENO	Brief bid
ODDS	They're sometimes stacked
KOA	Org. that provides R.V. hookups
AFTERYOU	"I'll wait"
MICAH	He prophesied the destruction of Jerusalem
MOON	It has a bright side
IBM	Tech stock option
CAMEROON	Highest peak on Africa's west coast
AGELIMIT	A casino may have one
HOLYMAN	Lama, e.g.
STANDOFF	Draw
FEASTORFAMINE	Fluctuating fortunes
TOBAGO	Its chief town is Scarborough
TRON	Suffix associated with accelerators
ANTEDATE	Come before
ROMMEL	El Alamein battle commander
LOINS	Cuts off the back
EAMON	Ireland's ___ De Valera
MOO	Stampede sound
ELY	Seat of White Pine County, Nev.
MONO	One beginning?
ARSON	Illegal firing
ARTSY	Dilettantish
TRIM	Free of excess matter
TROIS	A fifth of quinze
SNO	Cone head?
TRYTO	Opening words of the Beatles' "We Can Work It Out"
TESTY	Cross
AROMA	Patisserie output
AHOLD	"Grab ___!"
METOO	"Ditto"
MENSA	Table in old Rome
SHOOIN	Unlikely loser
SPIES	Uses a tap, perhaps
PRESSUREPOINT	Reflexologist's target
PHOTOLAB	Development area
RAPSTARS	50 Cent and others
EASEDOUT	Politely got rid of
SHANTY	Ramshackle residence
STIPPLE	Apply by repeated small touches
FAILS	Bombs
TOPSY	Stowe slave
CASED	Checked out
COL	Newspaper div.
HUM	Run smoothly
HEEHEE	Impish expression of delight
UPROAR	Flap
MTETNA	Workshop of Hephaestus
ITSA	"___ sign!"
POMES	Quinces, e.g.
POET	One who handles stress effectively?
SEPT	It has 720 hrs.
SHOPS	Galleria array
POT	You can bet on it
SOLID	Sphere, say
STAN	Novelist Barstow
THERE	Cry of accomplishment
TSOS	General ___ chicken
PLATTE	Divider of Nebraska
TIE	Bond
NOTSOHOT	Eh
TRE	24-Down, across the Alps
LARIAT	Western ring
EUROPEAN	Pole, for one
EBSEN	Pa Clampett player on TV
TESSERA	Tile piece
