SCOFF	Pooh-pooh, with "at"
SASH	Window part
CUTE	Just adorable
ODOR	___-Eaters (shoe inserts)
FIREDRILLS	*School evacuation exercises
FOE	A McCoy, to a Hatfield
TBAR	Way up a ski slope
TREVOR	"Key Largo" Oscar winner Claire ___
BITE	Orthodontist's concern
ATE	Wolfed down
RACIEST	Most risqué
SLOW	School zone warning
SKID	Losing streak
LEVI	Jeans maker ___ Strauss
OPEN	Ready for business
WISE	Like an oracle
AUDIO	TV signal component
RITA	Beatles meter maid
KEPI	Topper for Charles de Gaulle
STOREDETECTIVES	*Antishoplifting force
DANDY	Foppish dresser
TOE	Tip of a wingtip
HERE	Roll-call call
AVE	D.C.'s Pennsylvania, e.g.
IODINE	Antiseptic element
DRNO	Early James Bond foe
RELS	Reunion group: Abbr.
SEE	With 46-Across, be angry ... or what you can do inside the answers to the six starred clues
SMUG	Full of oneself
SNAREDRUMS	*Marching band percussion
SWEDE	Nobel or Celsius
NAVEL	Orange feature
ARIAL	Popular typeface
UBOAT	W.W. II sea menace
DUMA	Lower chamber of Russia's parliament
DAREDEVILS	*Evel and Robbie Knievel, for two
USING	Taking habitually
MINCE	Cut into tiny bits
ANKHS	Hippies' crosses
WARILY	In a cautious way
BUT	Excuse maker's word
ASIN	X ___ xylophone
EVILS	Satan's doings
FOG	State of confusion
FEUD	Hatfield/McCoy affair
BRINK	Verge
BLED	Ran in the wash
DEAL	Word with a handshake
PEA	Shell game spheroid
POETESS	Anne Bradstreet, for one
CLENCH	Hold tight
CROCI	Spring bloomers
ELLS	Some annexes
OUTEREDGES	*Rims
ELIDED	Said "bos'n" for "boatswain," e.g.
RED	See 25-Across
RAH	When repeated, gung-ho
LODE	Prospector's strike
AFLOAT	Financially solvent
ATIT	Engaged in a 38-Down
FETE	Big bash
LACE	Add a kick to
OCHS	Phil who sang "Draft Dodger Rag"
PIC	E-mail attachment, for short
PERU	Chile's northern neighbor
VISA	MasterCard alternative
IOLA	Seat of Allen County, Kan.
SNAG	Hang-up
ASHE	1975 Wimbledon winner
TEACHEREDITIONS	*Textbooks for instructors
ROT	Pure baloney
TAO	"___ Te Ching"
ITCH	Nagging desire
SORE	In a snit
ALLAH	Subject of much Mideast praise
TEES	Pigskin supports
STUD	Manly man
OSAGE	Missouri Indian
