RAISE	Union demand
RUSHTO	Hurry in the direction of
ANTEUP	Make a stud payment
ICEAXE	Climber's chopper
SLATE	Ballot listing
EELED	Caught congers
ENYA	2001 Oscar nominee for the song "May It Be"
EBRO	Battle of the ___, in the Spanish Civil War
NEUF	Nine, in Nantes
YESWE	"___ Have No Bananas"
ATTACK	War cry
FROM	With 37-Across, theme of this puzzle
FONT	Helvetica, for one
RIM	A dunker may grab it
OLE	Soccer cheer
MST	Boulder hrs.
UNCLE	Monkey's ___
BEET	Sugar source
OILS	Some artwork
STEAL	Super bargain
RUSTINMET	Reason to renovate an opera house?
IRONING	A household chore
HEATEROFWART	One cauterizing a skin blemish?
ROAST	Comical tribute
TUXEDO	Prom wear
ECO	Prefix with warrior
ESL	Night school subj.
EGIS	Sponsorship: Var.
SHAH	Ruler toppled in 1979
LTD	Bygone Ford
OPE	What flowers do, in poetry
ADA	Abbr. on a toothpaste box
DATA	Bank contents
ABOVO	From the beginning
KNIGHT	Caballero
ILIE	"Would ___?"
CASABA	Wrinkly-skinned fruit
CALE	Racer Yarborough
ARMLOAD	Big bag of groceries, e.g.
AFEW	Some
ILIAD	Poem about Paris, in part
STARTTOFINISH	See 10-Across
SEXY	Hot
TAPE	Marathon terminus
INLAY	Dental work
REALM	Kingdom
RED	Brave opponent
AVENGE	"When I am dead and gone, remember to ___ me ...": "Henry VI, Part I"
EXPELS	Throws out
SKIBUM	Slopes devotee
OWL	Hieroglyphic symbol for the ancient Egyptian "M"
LOU	Bud's bud
LOUNGE	Waiting area
OUSTED	Given the boot
UTTERS	Comes out with
DYE	Salon supply
OKS	Blesses
SLAVE	Work like a dog
ACTOUT	Pantomime
CSPAN	Hearings airer
TBONE	Steakhouse selection
RAILWAYSBUST	Narc operation on Amtrak?
REAP	Bring in
WREN	Word with house or Carolina
ATAD	Slightly
ENDEDBART	Dropped "The Simpsons" from the TV schedule?
ESQ	Atty.'s title
NUT	Buff
DLI	Mid sixth-century date
PONTE	Florence's ___ Vecchio
SULA	Toni Morrison novel
UVEA	Iris's place
ANGER	Tee off
QTIP	Wax remover
MEND	Rectify
NEEDS	Can't do without
