SLOB	Neatnik's opposite
SLAG	Refined waste
LIRA	Old Italian money
OMAR	Gen. Bradley
BABYBACKS	Some ribs
ABHOR	Loathe
ACCORD	Honda model
BROOD	Ones a mother hen mothers
HEMP	Rope fiber
OPIE	Aunt Bee's charge on "The Andy Griffith Show"
RECRUITS	New arrivals at camp
SACK	Pillage
SETTO	Fight
ALSO	In addition
CLAW	Cat's scratcher
KERN	Jerome who composed "Show Boat"
LIMA	___ bean
CREPE	Parisian pancake
ELLE	Fashion magazine
ARAB	Native Saudi
COMIC	"Little Lulu," for one
TSAR	Pre-1917 monarch
GARYCOOPERSTOWN	Actor's New York home?
CYNIC	Sour sort
SST	Retired jet, for short
BYRD	Longtime West Virginia senator
USO	Grp. that entertains troops
STRAND	Unit of pearls
SADIE	Hawkins of "Li'l Abner"
TBILL	Govt. note
RACKS	Ball holders in pool
SPIT	Rod at a pig roast
SIRES	Fathers on a farm
POKE	Jab
BVD	Brand of briefs
BELIE	Contradict
VALET	A man's man
DRESS	Gown
ABACI	Calculators with beads
RIOT	One who's just too funny
RAGE	Fad
FEAR	Phobia
FIRSTBORN	Heir to a throne, typically
DICKCLARKSVILLE	TV host's Tennessee home?
LOUNGERS	Sun deck figures
VASES	Ming objects
ILKS	Types
OGEE	Decorative molding
ARIES	Sign before Taurus
ELS	Overhead trains
HUES	Color tones
HAL	Broadway's ___ Prince
ASSETS	Opposite of liabilities
ANYONE	Random person
FAN	Groupie
FUSES	Circuit breakers replaced these
ANET	Working without ___
ATTAR	Fragrant oil
JPAULGETTYSBURG	Business mogul's Pennsylvania home?
JEDI	"Star Wars" knight
PREP	Make ready, briefly
ARLO	Guthrie who sang "City of New Orleans"
ERIN	"___ go bragh!"
TACO	Stuffed tortilla
USIA	Voice of America grp.
RHOS	Preceders of sigmas
GASH	Deep cut
ERRS	Drops the ball
ERATO	One of the Muses
OSHA	Workplace watchdog grp.
DELE	Strike out, to a typesetter
RICAN	Puerto ___
RIOS	Rivers of Spain
IPOS	N.Y.S.E. debuts
SNORE	Sleep soundly?
NASH	Ogden who wrote "The Bronx? / No, thonx!"
