POPS	Boston orchestra
PAST	It might be checkered
ONTO	Not fooled by
PERU	Llama country
SWIPE	Slide, as a credit card through a reader
COAST	Seaboard
CATERS	Supplies, as food for a party
OLE	Cheer for El Cordobés
ALAS	"Ah, me!"
SASH	Part of a girl scout's uniform
THEEND	Finis
HALF	30 minutes, in the N.F.L.
HOMEALONE	1990 Macaulay Culkin film
ALEX	The "A" in A-Rod
LISA	Kudrow of "Friends"
FOAM	Cappuccino head
ANEW	Once more
ALLAH	God of the Koran
OLIO	Mixed bag
STRIPTEASE	X-rated dance
PEA	___ brain (nitwit)
MESA	Miniature plateau
TOUPEE	Top secret?
SHE	"Thar ___ blows!"
EXAM	Something to cram for
EARL	Banjo picker Scruggs
LAREDO	"Streets of ___" (classic cowboy song)
NRA	Org. that publishes American Hunter
ROBIN	Bird that comes "bob, bob, bobbin'"
SKA	Some Caribbean music
SCAMP	Little rascal
KITER	Ben Franklin, famously, in an electrical storm
ATARI	Arcade game maker
SANDDOLLAR	Beach find
NEGEV	Israeli desert
DOGLEG	Sharp turn on a golf course
LOCHS	Sources of Scottish streams
AZURE	Sky-blue
RERUN	Twice-seen TV show
CITED	Referred to
ELIMIDATE	Competitor of "The 5th Wheel," in reality TV
DETER	Scare off
REO	___ Speedwagon (1970s-'80s band)
BOOZE	Rotgut
ATALE	"___ of Two Cities"
EGG	Fabergé collectible
INCUR	Acquire, as a debt
MERIT	___ badge, boy scout's award
DEL	Dover's state: Abbr.
NEHRU	___ jacket, 1960s fashion
PRIMEMOVER	Initial power source
MAGPIE	Chatterbox
ROTTEN	Spoiled
SEN	One of a D.C. 100
IRA	401(k) alternative, for short
GOBS	Oodles
BAH	Scrooge's cry
SPOTS	Dalmatian markings
WOOD	Object of the actions suggested by the starts of 17-, 30-, 47- and 66-Across
WASH	Launder
OLEO	Margarine
OVAL	White House office shape
GOT	"You've ___ Mail"
OARS	Crew's control?
TIES	Deadlocks
TAPOUT	Lose all one's money in gambling
OREO	Cookie with a creme center
USSR	Stalingrad's land, for short
TEST	The "T" of S.A.T.
ALVA	Thomas Edison's middle name
PAINTHORSE	Pinto
NNE	U-turn from SSW
SEAT	Plane assignment
IRENE	Ryan of "The Beverly Hillbillies"
TESS	Julia Roberts's role in "Ocean's Eleven"
HOLE	Golfer's target
ESSEN	Krupp Works city
SORT	Alphabetize, e.g.
