RON	Harry's pal at Hogwarts
RIPA	Philbin's "Live" co-host
ONUS	Responsibility
NALA	Simba's mate in "The Lion King"
SAW	Hit 2004 film with many sequels
SUSIE	The Everly Brothers' "Wake Up Little ___"
ASKFORTHEMOON	Make impossible demands
WHIT	Little bit
ORBITS	What this puzzle's eight concentric rings (uncircled and circled) represent
OBESE	Scale-busting
RAVEL	"Gaspard de la Nuit" composer
BRIDLES	Tack room items
INLAYS	Veneer patterns
TEEN	First-time driver, often
STY	Porker's pen
DOWEL	Wooden peg
DIORAMAS	Museum displays
ORR	Yossarian's tentmate in "Catch-22"
WEILL	"Mack the Knife" songwriter
ENNUI	Lassitude
LEGGS	Pantyhose brand
INARUSH	Pressed for time
RAGGED	Worn out
BARNETT	1968 N.B.A. All-Star Dick
TEAS	Bigelow beverages
IRENE	___ Adler of Conan Doyle's "A Scandal in Bohemia"
PULASKI	Georgia's Fort ___, site of an 1862 surrender
EVILEYE	Malevolent look
ORING	Rubber gasket
ASAGIFT	Gratis
SEDAN	Lincoln Town Car, for one
APR	Patriots' Day mo.
PREY	Rodent, to a raptor
LUG	Big ox
GEO	Prefix with political
BELLY	___ dance
BEET	Red food dye source
ISRAELIS	Six-Day War combatants
INUNISON	All together
ETTU	Roman rebuke
GATE	Entrance
GRASP	Comprehend
AORTA	Trunk in your trunk
TAKESATURN	Plays
RAE	Actress ___ Dawn Chong
ARAN	Ireland's ___ Islands
ESPN	"Nascar Now" channel
PSAT	Exam for H.S. jrs.
EMT	Medevac worker
ROAD	Way to go
TREATS	Dog biscuits and such
ACNE	Retin-A treats it
THESSALY	Region near Mount Olympus
SUNYATSEN	Formulator of the Three Principles of the People
NEVER	"In a pig's eye!"
SPYCATCHER	Controversial 1987 exposé by ex-MI5 agent Peter Wright
ERIC	Cartman's first name on "South Park"
NAPA	Bay Area county
ARK	Gopher-wood construction
HATCH	Submarine egress
BANE	Ruination
BANNOCKS	Oatcakes popular in Scotland
SUPRA	Infra's opposite
STEPHEN	King famous for frightening people
PSST	Discreet attention-getter
HIHO	Exclamation in "The Farmer in the Dell"
NEGATIVE	Like some campaign ads
GOUDA	Semisoft cheese from Holland
ELEVATORMUSIC	Tunes that might make you want to get out on the floor?
YIP	Pomeranian's bark
PASSIM	Sic ___ (bibliographical term)
MESON	Elementary particle
MERCUTIO	Romeo's reckless friend
SELLECCA	Actress/model Connie
LIEN	Legal claim on property
EDNA	Writer Ferber
ASHORE	On land
REEFS	Hull scrapers
SUN	Appropriate center for this puzzle
OREIDA	Frozen food company
TATTOOER	Exterior decorator?
TEMP	Desk-borrowing worker
ADIA	Top 10 hit for Sarah McLachlan
ADORN	Beautify
REAP	Harvest
VENTED	Let one's anger show
ELENI	Nicholas Gage memoir
DEMON	Possessor?
EDU	E-mail address ender
NECKLACE	Treasure sought in "Titanic"
KROC	Ray a k a the Hamburger King
MANACLE	Heavy metal band?
MUSE	Poet's inspiration
MIRED	Stuck in the mud
EDGE	Sharpness
DESTINED	Preordained
FURY	Storm
KAPUT	No longer working
POPS	Bursts open
HEM	Cuff feature
PANDERSTO	Satisfies, as baser instincts
RAIL	Pedestrian safety feature
ESPOSO	Husband, in Hidalgo
EMOTION	What Mr. Spock suppressed
RENO	"___ 911!" (comedy series)
RETIRE	Leave one's post, possibly
GSA	Fed. purchasing org.
ICBM	Long-range weapon, briefly
BRENDA	Lee with the 1960 #1 hit "I'm Sorry"
PER	According to
ERIN	The Auld Sod
IMPETIGO	Childhood skin affliction
INEPT	Bungling
MYLOU	"Skip to ___"
PUTON	Hoax
GLOW	___ stick (trick-or-treater's accessory)
ROAMS	Goes around
ATONE	Make up (for)
MANET	Painter of a Zola portrait
MAT	Where a pin may be made
APART	In different places
NYU	Greenwich Village campus, for short
ILL	Poorly
JETTA	Volkswagen model
JILL	Jack's partner in rhyme
JUPITUS	BBC panel show regular Phill
JAWA	Cloak-wearing "Star Wars" race
TUMS	Rolaids rival
ULEE	Big-screen beekeeper
SENT	Propelled
ELTON	Brand of basketball
OLE	___ Miss
OPINION	Something it's not always wise to share
PIP	Domino dot
ASARULE	Generally
POOLE	Grace ___ ("Jane Eyre" character)
WILDONE	1960 Bobby Rydell hit
WIREMEN	Electricians
TUNED	Ready to play, you might say
PLANET	One of these can be found reading counterclockwise somewhere in each concentric ring
ACT	Behave
SET	Go down
