SPANISHAMERICAN	Like a serape
SNIP	Sassy sort
PAWS	Padded things
ATAT	Rat follower
NIN	"A Spy in the House of Love" author
IONIA	Michigan county or its seat
SNARL	Complicated situation
HABIT	It can be kicked
ALES	Local stock
MAS	Humanities degs.
EVE	Woman's name meaning "life"
RED	Cardinal
IRATE	Needing to cool down, maybe
CATO	Enemy of Carthage
AGES	Quite a while
NEDS	Sparks and others
NATIONALAVERAGE	Demographic datum
IWANNABESEDATED	Classic 1978 rock song with the lyric "Nothing to do / Nowhere to go"
PST	It's observed in L.A.
IRIS	Something to look through
TOSS	Deep-six
BALT	Riga resident, e.g.
BIDET	Bathroom fixture
PIPE	It might need a fitting
PARAS	Professional helpers, briefly
ILIUM	Pelvis part
PASDE	Lead-in for deux, trois or quatre
ESAI	Tony's portrayer on "N.Y.P.D. Blue"
ELITE	Beautiful people
SANER	More together
ANTSY	Not sitting well?
MALA	___ fide
MLLES	Débutantes: Abbr.
DPI	Computer printer meas.
DITTO	"I'm right there with you"
PAOLO	Painter Veronese
INREM	Against a thing, legally
LANDOCALRISSIAN	Billy Dee Williams's "Star Wars" role
ORSER	1987 world figure skating champion
CNOTE	"Benjamin"
AANDW	Dad's rival
SITBY	Wait
INTERNALAUDITOR	Watchdog on the payroll
TESTSONESMETTLE	Shows what a person is made of
ERY	Hatch closer?
ETDS	They frequently change in airports, in brief
BOOM	More than an uptick
CREW	Hands
COMAS	Results of some traumas
TOBY	Mug with a mug
THEUN	Country club?
OUSTS	Boots
BRETT	Lady in "The Sun Also Rises"
MILO	Island where a noted Greek statue was found
MAIN	Cardinal
INTO	Plow ___
LIST	Telemarketing aid
THUR	Calendar abbr.
TROI	Enterprise counselor
EMU	Lean meat
EVER	By any chance
MERE	Paltry
USES	Gadgeteers' concerns
ANIMALPRESERVES	Game settings
AZO	Kind of dye
LOL	Modern joke response
POD	Part of a mustard plant
RHO	Density symbol
ITSAZOOOUTTHERE	Rush-hour observation
NOTSOLDINSTORES	TV ad line
