CLAN	Reunion group
CRASS	Uncouth
LILAC	Purple shade
ATALL	In any way
NERVE	Chutzpah
EDAM	Cheese from Europe
ENDTABLE	Lamp support, perhaps
DOOR	Word with chain or prize
ASIA	___ Minor
MENDES	Director Sam of "American Beauty"
LAPAZ	Capital of Bolivia
LOWROAD	Mean way to go
ALA	Like
PIXY	Sprite
AVER	State confidently
ZEDS	Last section of a London telephone directory
RITE	Altar happening
NOSE	Investigatory aid
OLIVE	Rare eye color
ALAR	Controversial apple spray
DOIN	"Whatcha ___?"
WAXED	Increased
SALVETRADER	Dealer in ointments?
EROS	Cupid's counterpart
EWE	Milk source
YRS	Model information: Abbr.
SCLERA	Eye cover
EWOK	"Star Wars" creature
KNISH	Purchase at a Jewish deli
OBTUSEANGEL	None-too-bright Broadway backer?
TAD	Small amount
UMEKI	1957 Best Supporting Actress Miyoshi ___
GETA	"___ life!"
EGER	City ENE of Budapest
LONI	Actress Anderson
BODYSLAM	Wrestling throw
BLAB	Spill the beans
OAHU	Island with Kaala Peak
DRAT	"Shoot!"
YALTA	1945 conference site
DIEGO	Don ___ de la Vega, a k a Zorro
LARA	Zhivago's love
EDEMA	Swelling
MAL	___ de tête (French headache)
ALEHOUSE	Draft locale
STEN	British weapon
AHALF	Time and ___
FETCHED	Sold for
KALAHARI	African desert
ASAP	"Pronto!"
BUTTERFILES	Some dairy records?
RKO	"Citizen Kane" studio
FALLIN	Sergeant's order
ATKA	Aleutian island
HAIRDO	Pageboy, for one
IPANA	Toothpaste once advertised by Bucky Beaver
REMAP	Chart anew
DRONE	Dull speaker
OSKAR	Schindler of "Schindler's List"
ADJ	Modifying wd.
AQUA	Shade by the beach?
DUNS	Demands for payment
JOTS	Scribbles (down)
COLDHOPPERS	Kangaroos at the South Pole?
DIVA	Egoistical, demanding sort
HEEP	Dickens's villainous clerk
QUOTH	"___ the Raven, 'Nevermore'"
TIA	Aunt, in Aragón
LIEU	Place
AMOK	One way to run
UNTIE	Loosen
IVES	Currier's partner
NANA	Zola novel
ASSAD	Syrian leader
NAPE	Shoulder adjoiner
APER	Impressionist
