JEST	Witty remark
JEFF	Mutt's partner in old comics
ELLE	Model Macpherson
SLAM	Bridge feat
TATUM	O'Neal of "Paper Moon"
GAFF	Hook on a handle
GEN	___-Xer
AVG	Batter's fig.
FELT	Sensed
FREEUP	Make available
SPADE	Bogart's sleuth
SETBAIL	Determine get-out-of-jail money
PERENNIAL	Orchid or peony
ALER	Yankee or Angel, for short
DEAR	"___ Diary ..."
EDDY	Whirling water
ELLA	Scat queen Fitzgerald
EVER	___ and anon
EELED	Caught congers
FLATANGLE	Off-key turn that almost comes back on itself?
ARES	Greek war god
TREAD	Tire pattern
FEMUR	Thighbone
TEABERRY	Wintergreen fruit
ALL	Totality
MEWS	Kitty cries
WHET	Stimulate, as the appetite
SARA	Poet Teasdale
ULAN	___ Bator, Mongolia
SAS	Flier to Stockholm
SCUFF	Shoe blemish
ALGOL	Star in Perseus
SALSA	Latin dance music
SHARPLINERS	Off-key 1990 Julia Roberts movie?
RAMBO	Repeated Stallone film role
ELIOT	T. S. or George
RADIO	AM/FM device
SCANT	Barely enough
CLAM	Chowder morsel
MYSTERIES	Detective stories
ERA	Hurler's stat
LILAC	Purple bloom
UGLY	Like a gargoyle
TAMPA	Florida's ___ Bay
PETE	Tennis ace Sampras
ALEX	Emcee Trebek
AIDA	Verdi opera
FOSSE	"Cabaret" director Bob
ESSENES	Ancient ascetics
BEL	___ Paese cheese
LOIN	Pork cut
FLATSHOOTER	Off-key marksman?
HAN	___ Solo of "Star Wars"
OUTSET	Beginning
RAMP	Way on or off a highway
TOT	Rug rat
ESAU	Jacob's twin
EXAM	Midterm, for one
MAFIA	Capo's crew
TORRENTS	Heavy downpours
TALL	Seven-foot, e.g.
OLEO	Ersatz butter
RAVE	Carry on
SHUE	Actress Elisabeth
MALLS	Shopping meccas
LOSS	What red ink represents
LOLA	"Damn Yankees" vamp
STEP	Rung
ALAIN	Actor Delon
SHARPFOOT	Off-key cop?
ARE	"___ you kidding?"
RON	One of the Reagans
LEVEE	Flood protection
EURO	It's replacing the lira
ISLE	Castaway's place
LOESS	Loamy soil
TEEN	High-schooler
ASAP	P.D.Q.
