PAW	Thing with four digits
PIERS	Docks
APNEA	Sleep lab study
WOTAN	"Der Ring des Nibelungen" war god
LIMP	Unfirm
LLAMAS	Beasts of burden
ION	One in an accelerated program?
MCCARTHY	Cormac who wrote "No Country for Old Men"
PIEDISH	Bake sale container
PASSTO	Target, as a receiver
PIXIE	Sprite
ACER	Big PC maker
SENEGAL	Dakar's land
SPORTSLAW	Judicial area dealing with athletes
TON	Host
OPS	Photo finish?
IPO	Small business's dream, for short
LOCI	Sets in geometry
ICEPOP	Colorful summer treat
ENTRANCE	After 66-Across, Batcave feature
RITTS	Photographer Herb
XENONS	Popular headlights
REAIM	Shift one's focus
ADMIRER	After 66-Across, anonymous Valentine sender
MLK	___ Day, Jan. celebration
SANTA	After 66-Across, participant in a gift-giving activity
RILE	Vex
GTOS	Some Ferraris
ORONO	Chief Joseph ___, after whom a Maine college town is named
SATON	Squelched
TSKTSK	"You know better than that!"
KAHN	"Clue" actress Madeline
BASRA	Mideast city that is the capital of the world in H. G. Wells's "The Shape of Things to Come"
BAT	Hit
YEWS	Coniferous trees
YOGAS	Options at a gym
EXALT	Elevate
WORKAHOLI	Person who doesn't know when to quit
AHH	Hot tub sound
BALLOT	After 66-Across, election standard
BALI	2,100-square mile island with six volcanoes
OXO	Kitchen gadget brand with a rotationally symmetric logo
WHY	What for
WEE	Lilliputian
OAT	Muffin choice
ONEBYONE	Individually
ANO	Agosto to agosto
GARDEN	After 66-Across, classic 1911 children's book, with "The"
DISINTE	Dig up
SNL	Janis Ian, Billy Preston and George Carlin were its first guests
SNARFED	Gobbled
IWON	Champion's shout
ILGWU	Labor grp.
ALKIE	Boozehound
ONEILL	Four-time Yankee All-Star Paul
OHO	"What's all this?"
LADMAG	Maxim, e.g.
STAS	Places where connections are made: Abbr.
AHAB	Literary character who says "For hate's sake, I spit my last breath at thee"
ATRES	Still
AGENT	After 66-Across, spy
EELER	Certain fisher
NEALE	Football Hall-of-Famer Greasy
TBSPS	Dosage amts.
HISTORY	After 66-Across, exposé subject
SEIN	River that's the site of Javert's demise in "Les Misérables"
DWEEB	Squarepants
ATONER	Sorry soul?
AMA	Member of a Latin trio
TIL	Tessellation piece
FORMULAS	After 66-Across, marketing gimmicks
RYN	Artist Rembrandt van ___
MILTIE	Old TV "Uncle"
ENYA	Irish pop star
ELP	1970s supergroup, for short
ALIENS	"V" extras
DENG	Jiang's predecessor
RES	Lo-___
