ADOPT	Take in
ADAMWEST	Actor voicing the mayor on "Family Guy"
DAMEEDNA	Aussie with purple hair and ornate glasses
OVERBOOK	Be too reserved?
PINES	Languishes
TERM	Stretch in a seat
WHOCARES	Unenthusiastic response
WHATSTHEBIGRUSH	"Easy does it!"
HAGAR	Sammy nicknamed "The Red Rocker"
ONEL	1977 memoir set at Harvard
CDL	Year Marcian became emperor
AMI	Bud abroad
RAMADA	Open-sided porch
EDITED	Made a long story short?
SETONS	Sisters of Charity founder and family
DAVIES	Companion of Hearst at San Simeon castle
SAO	___ Jorge (Azores island)
HANDMADE	Like friendship bracelets
AMENRA	Dualistic deity
AGELIMIT	Club restriction
MEREMORTAL	Ordinary human being
RINSE	___ cycle
ATO	Z preceder
WEBS	Signs of disuse
ISR	Big exporter of diamonds: Abbr.
BADEN	Black Forest resort
BARRIO	Chicago's Little Village, e.g.
ALEE	Out of harm's way, in a way
EDO	Maestro ___ de Waart
ISNT	"___ It Grand, Boys" (Irish standard)
INABIT	Presently
SODAS	Ballpark concessionaire's offerings
SALADS	See 35-Down
SABRA	Nazareth native, e.g.
SNO	Hostess's ___ Balls
NOSH	Little something
ARE	Equal
TAKEADEEPBREATH	"Easy does it!"
EARN	Win
PASTA	With 29-Across, picnic dishes
ASKABOUT	Try to get dirt on, say
TOILETTE	Process of grooming and dressing oneself
HUNTRESS	Artemis or Atalanta
ABA	Grp. for counselors
BARI	Capital of the Apulia region
SOU	Not much at all
NORRIS	"Good Guys Wear Black" star, 1978
NACHOS	Some chips
OCTOPI	They have many suction cups
RENNES	Capital of the Brittany region
ISAO	Golfer Aoki
KIN	Blood
ACENT	Not worth ___
SGT	Private instructor: Abbr.
SOLES	Ones underfoot?
MALT	Drink with a straw
MINOR	Hardly worth mentioning
CTN	Box: Abbr.
MORALFIBER	Strength of character
MUTI	Longtime La Scala music director
LDS	Church with elders: Abbr.
FETA	Topping on Mediterranean pizza
HONOLULU	Literally, "sheltered harbor"
ORS	Connecting words in logic
LAY	Spend, with "out"
DENOTE	Mean
OPERATES	Does some body work?
STOUTS	Some porters
SISSYISH	Far from macho
ARTES	Cultural doings in Cádiz
