SAMPLER	Confectioner's offering
SPARKY	Radar's radio contact on "M*A*S*H"
ARLENE	Longtime "What's My Line?" name
MALDEN	Brando's "On the Waterfront" co-star
PLEBES	First-year men
LIRE	Money replaced by euros
ENGAGEIN	Practice
REYNOLDS	Noted English portraitist
CARDIAC	Affecting the heart
CORALS	Beach shop souvenirs
ALAN	Playwright Ayckbourn
REID	Frist's successor as majority leader
DANROWAN	TV host who told viewers "Look that up in your Funk & Wagnalls!"
INHIDING	Lying low
ANACONDA	Montana county seat named for a nonnative creature
CATERERS	Hosts' hirees
PRALINE	Item in a 1-Across
OLEANNA	Two-character Mamet play
ALLERGY	Cause of overreactions?
RAINHAT	Matching accessory for a slicker
REDBEANSANDRICE	Traditional Monday meal in Creole cuisine
SAKE	Purpose
KNEE	"Oh! Susanna" closer
GOAL	World Cup highlight
ODOR	Podiatric problem, for some
YENS	Urges
ELKS	Grand Lodge Convention attendees
TWINE	Big tier?
TRON	1982 film and arcade game
RIDE	Fair diversion
RATS	"I hate it when that happens!"
RANDR	Time off
INDIANS	First major-league team to sign Satchel Paige
IDLECHAT	Cocktail party exchanges
NAILHOLE	Board opening?
DULLARDS	Intellectuals' opposites
INTERNET	Site site
TSONGAS	1992 New Hampshire primary winner
TALKEDAT	Had a one-sided conversation with
SHESGONE	1976 Hall & Oates hit
DAUNT	Intimidate
CAHN	Frequent Styne collaborator
CARD	Funny fellow
LILTS	Speaks with a pleasing rhythm
BALE	Bundle up
BASSET	Dog breed whose name literally means "rather low"
AFRO	Jimi Hendrix's style
ABUSES	Wrongs
FELINE	Ocelot, for one
RELENT	Come around
OPERAS	Palais Garnier offerings
ELLE	Reese's "Legally Blonde" role
ARKS	Synagogue cabinets
BEEP	Timer sound
CHARLESDEGAULLE	He said "How can anyone govern a nation that has 246 kinds of cheese?"
LENO	Celebrity who testified at the 2005 Michael Jackson trial
ETTU	Some famous last words
ASTA	Four-legged Hammett character
HORNETS	Underground nesters
DOSSIER	Required reading for 007
ALDENTE	Offering just the right amount of resistance
ANTENNA	Wire, at times
TESTOUT	Give a whirl
TEASETS	They hold at least two cups each
