DREW	Doodled, e.g.
DRAKE	Explorer Francis
RUINER	Destroyer
ELMORE	Author Leonard
WEEB	Hall of Fame coach Ewbank
HARUM	Elvis film "___ Scarum"
HAYES	U.S. president after Grant
ARMAS	Noriega's weapons
RIOS	Delgado's rivers
USN	Rear admiral's org.
MAD	Extremely upset
TORTES	Attorney's favorite sweets?
TOAD	Detestable one
OMNI	Former Dodge
RAN	Operated
TIE	Reason for overtime
ENLAI	Top Chinese Zhou
SEERS	Your future is their business
RULE	Reign
MARISAPTOMAINE	"Loverboy" actress who made the cast sick?
MARAUD	Freeboot
PCJR	Old IBM offering
THE	Useful article
AIME	It's love, in Lille
RAYMONDCHANNELER	Séance-loving crime writer?
RAMADA	Red Roof rival
RIM	Lip
KNOB	Adjustment means on a radio
AREAS	Yards, e.g.
JEDI	Obi-Wan Kenobi, for one
ARI	Uris hero ___ Ben Canaan
EER	Market closing?
DMASS	Abbr. after Ted Kennedy's name
DEANS	Entertainer Martin and others
VCR	Kind of tape
VON	Teutonic name part
CHOIRBOY	Tenor, perhaps
SEISM	Earthquake
STL	Enos Slaughter's team for 13 yrs.
EEYORE	Roo's donkey friend
RESEAU	Meshed foundation in lace
SLANT	Slope
DOH	Exclamation from a blockhead
DRU	"Wagon Master" actress Joanne
EMOTE	Show too much feeling?
EDEN	Heaven on earth
MPAA	Assigner of G's and R's: Abbr.
OOMPAHS	Tuba sounds
LADD	"O.S.S." star, 1946
ARNOLDPOLYMER	Hall of Fame golfer who invented the all-plastic club?
AMOK	Wild
LBO	Action on Wall St.
MORASSES	Swamps
ENORMITY	Monstrousness
RAT	"You dirty ___!"
ROMANA	Alla ___ (pasta style)
RIGG	Patrick Macnee's 1960s TV co-star Diana
ORATORIO	Opus with singing
MOTORINN	Interstate sight
SMU	Planned site of the Geo. W. Bush Presidential Library
SOCK	Nonmatching item, maybe
IBEAM	Piece that gets riveted
OONA	Young wife (age 18) of Charlie Chaplin (age 54)
IRONS	Restraints
FOO	Egg ___ yung
FAO	Toy store ___ Schwarz
RONAPARROT	All-telling gossip queen who repeats everything she hears?
ADE	Add-on for Gator
GATT	Letters of commerce
BACKRUB	Laying-on of hands?
BONEMAN	Guy who digs fossils, slangily
ROSESLUG	American Beauty pest
URN	Inspiration for Keats
ADEAR	"You're such ___ for helping"
GTO	Ronny & the Daytonas hit
KOOK	Eccentric
KOS	Nails but good
ORO	Acapulco gold
ACHE	Long (for)
AERO	Old aviation magazine ___ Digest
CRY	Have a bawl
SML	Letters of sizes
LASE	Reshape a cornea, say
ORSON	Yul Brynner died the same day as ___ Welles (odd fact)
SKEINS	Items for knitters
SNYDERS	Relatives of TV host Tom
DFCS	Gallantry-in-war medals: Abbr.
ASIA	Everest setting
AISLE	House of Representatives divider
ERIKSETTEE	Avant-garde composer who sat around a lot?
ELM	Tree with serrate leaves
TAZO	Big name in tea
TRES	Ocho minus cinco
ETA	US Airways datum: Abbr.
FRY	Linger in the hot sun
DIETS	Loses on purpose?
DELHI	Vacation destination for sandwich lovers?
LINE	Y-axis, for one
MARTS	Handy places to shop
NCO	Army type, for short
NUL	It's void in Vichy
JESSYE	Prima donna Norman
JOHNOF	English duke ___ Gaunt
MONICAZEALOUS	Passionate tennis star?
COE	Runner Sebastian
ORT	Odd morsel
ROLL	Yaw relative, on an aircraft
ROOTED	Rummaged
NONOS	Some etiquette rules
URL	Online address
OHHELL	"Rats!"
LAMBDA	Sorority letter
LIEBER	Iron Man co-creator Larry
PROSE	Regular writing
PAN	Mythical piper
RAILS	Pullman supports
OAKIE	"Song of the Islands" co-star Jack
SGT	York, e.g.: Abbr.
SAUL	Old Testament king
LEONI	Hollywood's Téa
LOCAL	Not express
ETHNO	Intro with centric
AIM	Eye the bull's-eye
MEANT	Connoted
AAA	Trip-planning org.
PITA	Option for a sandwich
PASO	Hit by Marty Robbins, "El ___"
ICAN	Eager beaver's assertion
TRY	Really test
SOTTO	Lower than: It.
SEHR	Ilse's "very"
SMEE	Disney pirate, 1953
SAAB	Swedish import
NIKITACRUISECHEF	Moscow V.I.P. who liked to cook on a ship?
INA	Hell ___ handbasket
TDS	Y. A. Tittle scores
IOC	Org. with a five-ring logo
SWA	United competitor: Abbr.
ABBA	Eban of Israel
LINDSAYLOWHAND	"I have no face cards" actress?
ADEN	Near Eastern port
SEASON	Easter ___ (period up to Pentecost Sunday)
CARLO	European resort Monte ___
BART	Driving alternative in S.F.
