UNDERARM	Secret target
UPHILL	Like an arduous battle
NOOSES	Some chokers
DOLLED	Dressed (up)
ELDER	Esau vis-à-vis Jacob
RADS	Dosimeters measure them
ARE	Be transformed?
READOUTS	Some computer displays
MARINEECOLOGIST	31-Across, for one
SHIEST	Most diffident
SHOES	Brake equipment
HUMS	Runs smoothly
IRE	More than exasperation
ERASABLE	Impermanent
SARASOTA	Site of Florida's first golf course
THANKYOU	Phrase an overseas traveler should know how to translate
POOLAREA	Where sunbathers sunbathe
HURRAH	Exclamation of joy
HOLDDEAR	Cherish
OMEARA	Mark who won the 1998 Masters and British Open
ISLES	1980-83 Stanley Cup champs, in brief
DIMES	They have torches on their backs
MGS	Classic sports cars
SAN	Antonio or Joaquin
LEER	Wanton gaze
GONGS	Dinner signals
GLUEY	Viscous
CASK	Port container
CHITS	Some poker payments
LSD	Trip vehicle?
SLUES	Twists about an axis
SCULL	Shell you may sit in
OHBOY	Exclamation of joy
OASIS	Place to get a date?
ACUTE	It's never right
AQUAS	Pharmaceutical liquids
SAILTO	Reach by vessel
SUERS	Plaintiffs
JACQUESCOUSTEAU	Explorer born 6/11/1910
JUSTATAD	Not much
ANTIGONE	Sophocles tragedy
CREATION	Genesis highlight
ONETENTH	Part given by the pious?
UNRULY	Mutinous
ONEIS	"___ never enough"
STEAL	Signal from the third base coach, maybe
NLERS	Cards and Reds
NOD	Listener's approval
RMS	Real-estate ad abbr.
RATITE	Kiwi, e.g.
MURMUR	Complain, in a way
SLEEPS	Succumbs to narcolepsy
TIAS	Andalusian aunts
FOOTS	Pays, as a bill
FORTE	Talent
GAUL	Conquest of Caesar's
GETIT	"Savvy?"
AGT	Rep.
LODGE	Beaver's home
LEND	Furnish
METRE	Cambridge measure
MORA	Third baseman and two-time All-Star Melvin ___
TOILER	Serf, e.g.
LIU	Sch. in Brooklyn
INNOTIME	Lickety-split
NIE	Never, to Haydn
ANOINT	Consecrate, in a way
STIRITUP	Classic Bob Marley song that was a 1973 hit for Johnny Nash
DENUDE	Lay bare
THEATERS	Fields of operations
