TABOO	Major no-no
TSP	Sugar amt.
APO	Part of a milit. address
BEL	Actress Barbara ___ Geddes
OAK	Acorn, eventually
ORACLE	Seer
TART	Fruity pastry
TITAN	Mythical giant
ADAZE	In ___ (befuddled)
RELY	Count (on)
TALESE	"Thy Neighbor's Wife" author
POSH	Superdeluxe
PREGO	Ragú competitor
OUGHT	Should, with "to"
SLOTH	Animal that sleeps upside-down
HESSE	Literature Nobelist Hermann
SPEAR	Primitive weapon
IDEA	Brainstorm
RULE	Have the throne
POLKA	Rural dance
TALL	Like a seven-footer
EGOS	They give people big heads
CRAZYEIGHTS	Fast-paced card game
RESET	Bowler's button
IOWAN	Des Moines native
SCALENE	Having three unequal sides, as a triangle
SLURS	"Yellow-bellied coward" and others
CADET	West Point drillee
ARISE	Stand up
SOOTHE	Act like aloe
FLARES	SOS lights
FADE	Lose color
HEW	Use an ax
HAHA	More than a tee-hee
AUDI	German auto
EMMA	Austen novel made into a 1996 movie
MOBS	Sale scenes
MTA	N.Y.C. subway manager
ALIST	Most-wanted group of attendees
LIBEL	Newspaper no-no
INANE	Nonsensical
SENOR	Man of La Mancha
TSKS	Head-shakers' syllables
DRESSTOTHENINES	Wear one's best
SEINE	Paris bisector
ESSEN	German industrial city
ESTEE	Cosmetician Lauder
BAAS	Ewes' calls
BANK	Chase Manhattan, e.g.
IDS	Proofs of age, for short
DECODE	Read, as enemy messages
STENOS	Dictation takers
TASSEL	Mortarboard part
ARCANE	Esoteric
APACE	With speed
RELAX	"Take it easy"
CRATE	Egg protector
AFROS	60's-70's coifs
STEALER	Kleptomaniac
STEAM	Fulton's power
TELLY	What to watch the BBC on
PERFECTTENS	Gymnasts' quests
TRIM	Quick haircut
ALAR	Banned apple spray
OREL	Pitcher Hershiser
SABER	Dueler's sword
ABE	Pres. Lincoln
BOA	Showy scarf
ENS	Ems followers
RYE	Seedy loaf
CATO	Roman philosopher
DIAL	"___ M for Murder"
EBONY	Like some piano keys
EXES	Larry King has a few
EMMY	Award for Oprah
LEASE	Renter's paper
