HACK	Triter writer?
HOHOS	Popular snack cakes
ADAPT	Show flexibility
CITER	Lawyer, often, in court briefs
KEENON	Partial to
POGO	Old toy trademark
PIONEERS	Groundbreakers
OWED	Outstanding
GOASKYOURMOTHER	Bit of parental buck-passing
ONTHE	With 18-Down, like some corrupt officials
COPED	Got through
CANTSEE	Is blind
OLDCOINS	Numismatist's interest
PARA	Law assistant, for short
EMUS	Birds with dark green eggs
DONE	Over
ODIE	Comics canine
IWON	Lottery cry
ALAMO	Santa Anna target
HATETOEATANDRUN	Apologetic words at the end of a meal
TAKE	See 8-Down
AULD	___ Hornie (Satan)
OPENANDSHUTCASE	No-brainer
STROKE	Call to a crew
KELSO	Horse of the Year, 1960-64
NEEDY	Disadvantaged
DOLE	Charity
DEIGNS	Considers barely dignified enough
GDAY	Mate's cry
NOGO	Canceled
SWAN	Pen with eggs
BOB	Go up and down
BARN	Hay there!
OLEO	Spread
BEAM	It travels at the speed of light
ROOT	Hair implant?
TRIO	The Dixie Chicks, e.g.
ENDOW	Provide for
ALEC	Smart ___
CLAPTRAP	Humbug
SLURS	Marks for a score
SEACOAST	Sandbank's spot
SAGA	Storyteller's challenge
REALM	Space
MARTYRS	Zacharias and others
ERIE	Great Lakes city
YON	"Throw thine eye / On ___ young boy": "King John"
NOMAAM	Polite turndown
MOOT	Purely academic
MOATS	Siege deterrents
THOR	Marvel Comics superhero
SETTER	Certain volleyball player
PROMO	Clip for TV
MOORE	English sculptor Henry
CHEATS	Clip joint figures
ASHBY	"Being There" director
TIARA	Triple crown, for one
SETON	Attack
TOOTTOOTTOOTSIE	Lead-in to "goodbye"
TSAR	Foe of communism
OONA	Mrs. Chaplin
OREM	City south of Salt Lake City
TEMA	Main idea of un libro
SORRYTOHEARTHAT	"That's a shame"
ANEAR	Lend ___
REMS	Sleep activities
EBRO	River rising in the Cantabrian Mountains
RAMPS	Level connectors
ERAT	"In principio ___ Verbum" (biblical phrase)
RYAN	Film private
