MACH	Jet speed unit
MATHIS	Singer Johnny
ATHENA	Goddess of wisdom
CLEATS	Golf shoe features
HASTE	Swiftness
ALEE	Out of the wind, nautically
ABE	Civil War prez
LEAH	Jacob's first wife
EDKOCH	1970's-80's New York City mayor
EEYORE	"Winnie-the-Pooh" donkey
RIFE	Widespread
REHAB	Post-op time
IVE	"___ Got a Secret"
FIE	"Jack and the Beanstalk" exclamation
ELL	Building addition
ATLAS	Book of maps
SQUALLS	Sudden, fierce winds
BEDE	"Venerable" English writer
EVIL	Satanic
THESQUEAKYWHEEL	With 34-Across, a proverb
UPROOT	Displace
WHYS	___ and wherefores
HEATUP	Intensify
HOOHA	Hullabaloo
INTEARS	Weeping
SASH	Accessory for Miss America
CRYBABY	One who is often 22-Across
AVIS	Budget competitor
BITE	Angler's quest
YAZ	Famed Bosox outfielder
SAS	Carrier to Stockholm
LOATHES	Abhors
THEDA	Silents star Bara
VIA	Itinerary word
SLOSH	Walk through mud, say
STY	Place for boars and sows
RITZ	Popular cracker brand
RAY	Beam of light
GETSTHEGREASE	See 17-Across
GURU	Expert
EDAM	Dutch treat?
GIRD	Surround
RATEDG	Like traditional Disney films
EROSION	Shoreline problem
JUDY	One of TV's Jetsons
JAS	Madison or Monroe: Abbr.
DIARY	Book that might have a lock
ARA	Coach Parseghian
SWEARTO	Affirm under oath
STUN	Phaser setting
WRECKS	Destroys
EASEUP	Relent
TIO	Spanish uncle
TENDTO	Take care of
INNEED	Poor
ODENSE	Danish city
SUMATRA	Island across the strait from Singapore
AGENT	Maxwell Smart, for one
DESCEND	Climb down
COLOR	Plum, lemon or peach
GUEST	Party attender
TINA	One of the Sinatras
DIONNE	1930's quintuplet
SILENCEISGOLDEN	A proverb that contradicts 17- and 34-Across
SIN	Transgression
ICE	Cause of a skid
LOX	Bagel topper
SGT	Cpl.'s superior
ICON	Computer image
KUNG	___ fu
NOTES	Student's jottings
NEXT	Waiting room call
SPAT	Tiff
RODE	Went by bus
