ALLMAN	Very virile
ARGO	Mythical craft
LOAD	Whites or darks, e.g.
LYLE	Football's Alzado
MAA	Kid's cry
ALP	European skyline sight
NOELS	Seasons of celebration
DEPORTED	Sent off
DEFT	Magicianlike
EROS	February figure
PARA	Plane-jumping G.I.
OHM	German physicist
ROAST	Get very hot
TUNEUP	Performance enhancer
ESCAPE	Hobby, e.g.
DEEMED	Held
ROYALOPERAHOUSE	Covent Garden landmark
PROS	Debate list
GALAPERFORMANCE	Showy show
ODE	Dedicated lines
LOTSA	Much, slangily
SEAM	Sarong's lack
PASS	Frontier scout's discovery
POLLS	Places behind curtains
ANIMALS	They're in a kingdom
STUPE	Dimwit
SENORAS	Women con esposos
ADDON	Attach
AST	Nova Scotia hrs.
DAH	Code word
DIE	Randomizer
MODE	Way
MANNA	It fell in the Old Testament
OLDS	Starfire of 60's autodom
DOLT	Dimwit
PED	Crossing user, for short
SAILINGALONG	Having an easy time of it
NATE	"Sabrina the Teenage Witch" actor Richert
GAIN	Put on
GUILT	___ trip
THELMAANDLOUISE	Cinematic pair of 1991
IPO	Dot-commer's dream, for short
SEE	Center of religious authority
EDS	Life-altering people?: Abbr.
SATINSTRIPED	Like some fine linen
RET	Name affix: Abbr.
REVOLT	Sicken
ELINOR	Poet Wylie
TSETSE	Nagana carrier
LENA	River through Yakutsk
ALOES	Some are bitter
ELSAS	Joy Adamson's "Forever Free: ___ Pride"
ASHES	Cremains, e.g.
ASST	Second hand: Abbr.
ARTS	Cultural doings
SEETO	Mind
VIES	Is a contender
INURE	Harden
IDOL	Loved one
NONE	Zip
UTES	Huntsman Center team
LAW	One on the books
LIPO	Alternative to dieting, briefly
ANET	"They have prepared ___ for my steps": Psalms 57:6
WERE	Ginger Rogers song "___ in the Money"
ONTHEDOTTEDLINE	Way to sign
EST	Paris's Gare de l'___
DEF	Very good, in the 'hood
LMN	O lead-in
LOSESONESTEMPER	Gets very hot
TRESTLES	Some frameworks
OFNOTE	Distinguished
