RARE	"Still mooing"
RELOAD	Time-consuming task for a musketeer
AXILLA	Armpit, anatomically
RETELL	Pass along, as gossip
EST	Ballpark fig.
ASHES	Old flames?
ASEA	Away from harbor
STOIC	Stiff-upper-lip sort
HENNA	Temporary tattoo dye
ENE	St. Louis-to-Cleveland dir.
SOS	"Sending out an ___" (much-repeated line in a Police hit)
SILO	Forage storage
SIERRA	Jagged mountain range
INDIANAN	Hoosier
LOG	Captain's journal
ONE	Diet-drink calorie count
EXES	Old flames
STENO	Job made almost obsolete by voice recorders
INON	Privy to
LITTLEONES	Tots
LCHAIM	Toast at a bar mitzvah
EDGE	Upper hand
OLE	Plaza de toros cry
CAIN	First murderer
ARI	"Entourage" agent Gold
ABE	Mt. Rushmore neighbor of Teddy
ALLAH	Moor's deity
ALVA	Menlo Park middle name
CALIBRATE	Make fine adjustments to
LOGES	Pricey seating areas
ICESAW	Winter fisherman's tool
TINT	Salon job
ECO	Prefix with -cide
DALLAS	Home of the Stars
SNAPON	Attach with a click
OCEANIC	Fictional airline on "Lost"
VINTAGE	Wine label datum
TRUST	Target for Teddy Roosevelt
AIL	Feel awful
ANO	"It's ___-brainer"
EVAMARIESAINT	"On the Waterfront" Oscar winner
ELOI	Morlocks' victims, in an H. G. Wells story
VIRGINIA	Birthplace of eight U.S. presidents
AROUND	Roughly
ISBN	Publisher's 13-digit ID
ALI	Actress Larter of "Heroes"
ADS	Billboard displays
PULSARS	Stars that exhibit the "lighthouse effect"
DORITOS	Tortilla chip brand
INVEST	Buy gold, e.g.
TOY	Water pistol or popgun
WOBBLE	Need leveling, perhaps
BIMINI	Bahamas getaway
LOANER	Temporary wheels
ENDEAR	Win over
SIGNONTHE	With 60-Across, ink a contract ... or a feature of 17-, 25- and 37-Across
HDTVS	Sharp products, for short
EATIN	Opposite of "take out"
UNION	Shop group
IVY	Trellis climber
DARN	"Drat!"
RENO	Setting for the movie "Sister Act"
MAD	"Usual gang of idiots" magazine
JANE	One of Spot's masters
JAM	Problem for a copier
AXE	Send packing
DOTTEDLINE	See 50-Across
DIY	Handyman's letters
ORE	Miner's find
LOL	"U R funny!"
AXIS	Graph line
IRVIN	Film director Kershner
ONEA	Fit for duty
MEAT	Substance
YESNO	Kind of question
LIRR	Line to Penn Sta.
