SLED	Iditarod vehicle
SPEWS	Shoots, as lava
LEGAL	Permissible
EPOXY	Strong bond
DESI	Arnaz of "I Love Lucy"
ALMS	Money for the poor
ALIGNED	Like celestial bodies exhibiting syzygy
LEAPT	Pounced (on)
MAGOO	Nearsighted Mr. of cartoons
SHOE	What a cobbler works on
DAZED	In a stupor
DOMINGO	Santo ___, Caribbean capital
ABACI	Beaded counters
ZAG	Zig's partner
EMU	Cousin of an ostrich
DAS	Prosecutors, briefly
PEPE	Skunk ___ Le Pew
LEAH	Jacob's wife
OBAMA	President sworn in on Lincoln's Bible
EGOS	They can be stroked or bruised
IAGO	"Othello" character who says "Who steals my purse steals trash"
MAGUS	Bearer of gold, frankincense or 66-Across
WAXINGPOETIC	Speaking with lofty language
NULL	___ and void
TEAL	Blue-winged duck
SLY	Cunning
UNTO	"Do ___ others ..."
ENIGMA	Riddle
GLUES	3-Down and others
MERIT	Earn
AXES	x and y, on a graph
ALE	Ginger ___ (Canada Dry product)
ALAI	Jai ___
SAG	Droop
SCOT	Sean Connery, nationally speaking
LEX	___ Luthor of "Superman"
FULLDISCLOSURE	Withholding nothing
FLARE	Airborne signal
ULNAR	Like a bone from the elbow to the wrist
IBIS	Bird seen in hieroglyphics
SON	Bush 43, to Bush 41
SLEW	Large amount
ELLA	Jazz's Fitzgerald
EWES	Rams' mates
BOO	October 31 shout
LEIS	Luau garlands
WANINGINTEREST	What a fresh ad campaign helps combat
NINEVEH	Ancient Assyrian capital
GREW	Sprouted
ERUPTED	Blew, as a volcano
RAPS	Notorious B.I.G. releases
ERA	History segment
IRS	Auditor's org.
RAW	Like carrots that crunch
SERENE	Calm
ENTER	Key in
SOUP	Campbell's product
SABRE	Buffalo hockey player
OMEGA	"Phi, chi, psi" follower
MAR	Damage
MINEO	Actor Sal of "Exodus"
ARTOO	"Star Wars" droid
RESIN	Plant exudation
NEWHAMPSHIRE	Holder of the first-in-the-nation presidential primary
HAUL	Lug
HELM	Captain's place
ABCTV	"Dancing With the Stars" airer
ATM	Dispenser of 20s
BUY	Totally accept, as an idea
CTR	Midpoint: Abbr.
ABET	Help in crime
ENTS	Tolkien creatures
TUTEE	One getting one-on-one instruction
URGE	Egg on
LEOI	Sainted fifth-century pope
MYRRH	Gift brought to Bethlehem
LEAD	Pb, in chemistry
MOON	Its cycle is indicated by the starts of 20-, 32-, 40- and 55-Across
