AJAX	Trojan War hero
AGLOW	Shining
JEUDI	Day after mercredi
ANGEL	Child who behaves perfectly
XES	Illiterates' marks
MASH	Hawkeye's show
MADEIT	Achieved success
ATALL	In any way
SET	Wimbledon unit
HEATWAVES	Scorching times
OFUSE	Serviceable
ORCAS	Oceanic killers
FALLTO	Get beaten by
UVEA	Eye part
SEAL	Navy commando
EDNA	Poet ___ St. Vincent Millay
GENE	DNA carrier
ATEE	To ___ (exactly)
RAVED	Spoke irrationally
LUGS	Drags along
DATA	Numbers to crunch
CLEAN	Fresh from the laundry
ODE	Keats work
TEL	Address book no.
TWOBIT	Small-time
TRALALA	Refrain from singing?
RENEW	Extend, as Time
WILDWILDWEST	1999 Will Smith movie
DREW	Pulled a six-shooter
DRAINED	Emptied
ROT	Decay
RAN	Sought a seat
OTTO	___ von Bismarck
TIKI	"Kon-___"
TOIL	Travail
ONEA	Most qualified to serve
TYPEB	Laid-back, personalitywise
TWAS	"Jabberwocky" starter
YETI	Hairy humanoid
PEEP	Chick's sound
PAVED	Unlike dirt roads
PLOTLINES	Drama essentials
DIVIDE	Make fractions
ION	It's charged
WEEWILLIEWINKIE	Nightgown wearer of rhyme
LOIRE	France's longest river
NOTE	Staff member?
ATE	Chowed down
TOONS	Tom and Jerry, for two
VOILA	"And there you are!"
SIPS	Doesn't guzzle
SWINGY	Like Benny Goodman's music
ITE	Suffix with Manhattan
ZIT	Teen's embarrassment
ZIPSUP	Fastens pants, in a way
WORLDWIDEWEB	Modern research tool
OLEOS	Dairy section selections
WASTE	Fritter away
WOUND	Twisted
ELIDE	Say "bo's'n," say
BETON	Back, as a racehorse
GALILEI	Galileo ___
GIMP	Hobbling gait
ARAL	Asia's ___ Sea
LENA	Tuneful Horne
APE	How the excited go
OLE	Corrida cry
IRENE	Cara or Castle
NESS	Loch ___ monster
ETE	Summer on the Riviera
QUIT	Pack it in
QUE	Can. province
MANGO	Exotic fruit
ETTU	Rebuke to Brutus
UNDO	Cancel
PLAYS	Obie candidates
SEEP	Leak slowly
EDEN	First couple's place
