PAPASMURF	White-bearded, red-capped patriarch
PIRATE	Marine menace
ACUMEN	Sagacity
PEPPED	Put spirit into, with "up"
ASPS	Hooded menaces
SKA	Pop of Jamaica
MARCHMADNESS	The Elite Eight are associated with it
UTENSIL	Piece of silver
RENO	Silver State city
FRATBOY	One who's made a pledge
USOFA	G.I.'s sod
UFO	Subject of some sightings
SIVA	Hindu trinity member
ONECARAT	About three grains
FIRELANE	Corridor to be kept clear
ASTRINGS	Quartet in a string quartet
ICESKATER	One with spin control?
FINIS	Famous last word
RUPPARENA	Lexington Center centerpiece
OVERT	Open
AMPS	Concert equipment
CNOTE	Substantial bill
ELVISPRESLEY	Subject of some sightings
ACER	Toshiba competitor
TEE	Place for a swing
VHS	Recording standard
VEEROFF	Change course
BLT	Club alternative
TENPAST	A little after, timewise
ALI	He came out of retirement in 1980
END	Doom
EMI	Decca rival
OVERRAN	Flooded
RYAN	Hero of several Clancy novels
HEAL	Set right
HALO	Good sign?
YINYANG	Symbol of contrasting principles
ABOARD	Alongside, nautically
ACIDRAIN	Environmental awareness topic
BYGEORGE	Cry when you think you've got it?
OCOTILLO	Cactuslike tree of the Southwest
SPATES	Floods
CYCLONE	Eye site
EDUCATE	Show a thing or two
SPAN	Stretch
SIGNORS	Modena misters
IGOOFED	Slip acknowledgment
IRS	Form letters?
BBB	Org. whose logo is a torch
BRAVOS	They may keep the show going
BEMINE	Words on a heart
BLAISE	Philosopher Pascal
DET	Lead seeker: Abbr.
FSU	Seminoles' sch.
GET	See
REL	Bill of Rights subj.
ROIL	Churn
LEON	Oil magnate Hess
SCANS	Doctor's orders
APIA	Capital where tala are spent
BAMA	Crimson and white school, for short
BORO	Staten Isl., e.g.
ARLES	Setting of Van Gogh's "Bedroom"
SOS	Emergency letters
APOLLOVII	Wally Schirra commanded it in 1968
LIT	Fried
IGLOO	All-natural abode
TIREIRONS	Car-jacking aids
NEONS	Garish glowers
EASYTOSEE	Plain
