ARISE	Crop up
ALVA	Thomas ___ Edison
RUES	Wishes undone
INIT	J., F. or K.: Abbr.
SALUD	Tijuana toast
EROTIC	Like the Kama Sutra
RABBI	Service leader
RAT	No-goodnik
ALIT	Came to rest on a wire, e.g.
BLEATS	Sounds during wool-shearing
BARRIO	East Los Angeles, e.g.
INS	Helpful contacts
BAT	Cricket club
BABYSITTER	Saturday night hire, often
AREA	Field
TEEN	11-Down, frequently
LUNAR	Like some eclipses
ALLAN	Detective Pinkerton
ARE	"___ you sure?"
VEILOFTIERS	Amphitheater cover?
FEVERS	They're dangerous when they're high
BEE	Contest of sorts
ASTUTE	Sharp as a tack
TAR	Macadam ingredient
RYAN	O'Neal of "Peyton Place"
RESIST	Stand up to
DIVA	Temperamental sort
ANNA	Ballerina Pavlova
TINES	Pitchfork features
NFL	Pro Bowl org.
ALS	Gore and Hirt
ALGER	Tattered Tom's creator
LANAI	Maui neighbor
SMATTERING	Little bit
CENTSOFSITE	Coins found at a dig?
TAUPE	Hose shade
TEASE	Get on
ERNST	Surrealist Max
LAMS	Takes off
STEERS	Has the tiller
RNA	Genetic letters
LITER	Engine unit
GNAT	Swarm member
SAUNA	Spa offering
NAIL	Picture holder
ANGELO	San ___, Tex.
STAN	Lee of Marvel Comics
EATEN	Packed away
NOR	Bergen's locale: Abbr.
PAN	Prospector's need
TESS	Julia's role in "Ocean's Twelve"
RITEOFWEIGH	Prefight ceremony?
FOREST	Ranger's domain
WREATH	Year-end decoration
HEIFER	Cow that hasn't had a cow
RET	A.A.R.P. part: Abbr.
ERROR	Overthrow, e.g.
LEER	Dirty look
RAMIE	Flaxlike fiber
MARS	Deimos orbits it
MUTT	Kennel club rejectee
ARIA	Star turn
REA	___ Irvin, who designed the first cover for The New Yorker
ACHE	Need an ice bag
LIABLE	On the hook
BEER	Schooner filler
LEIA	Luke Skywalker's sister
ETON	School on the Thames
URI	William Tell's canton
PEACEOFMEET	Calm at a wrestling match?
PAO	Kung ___ chicken
EER	Suffix with auction
TIN	Pewter, in part
ASTHE	"___ World Turns"
EIEIO	Children's refrain
TAG	Put out
OTHER	Questionnaire category
RERAN	Played over
