VIALS	Lab containers
VIM	Pep
IDO	Wedding declaration
AIR	Word with strike or ball
LOTT	Trent of the Senate
STOODIN	Substituted (for)
SHUN	Stay away from
SASSY	Smart-alecky
HEAT	Cooking direction
URL	www.yahoo.com, e.g.
NOTFUNNY	"I don't appreciate the humor"
IMPS	Rapscallions
IDOL	Any Beatle, once
MUTTONCHOPS	Comic strip character's book about butchers' cuts?
PETER	Fizzle, with "out"
STORE	Squirrel away
IDIOT	Fool
AERO	Flying prefix
DUET	A two-piece?
MORTONSALT	Publisher Zuckerman's book about weapons negotiations?
NARC	One who monitors traffic
OTTO	"Beetle Bailey" pooch
TOAST	It usually pops up
FILTER	Purification aid
IBID	Footnote abbr.
HAH	"So there!"
HAREM	Spouses of a sultan
ARESO	"You ___ right!"
HARPOONGUNS	A Marx brother's book about shooting?
DRY	With not much vermouth
PUB	After-game meeting place
PEONS	Lowly workers
ORE	Lead ___
ARABIC	Language of the Koran
BANNS	Wedding proclamation
BENIGN	Harmless
BONKS	Hits on the head
GOWNS	Prom apparel
RERAN	Put on again
BOONDOCKS	Actress Derek's book about port facilities?
BALIN	Ina in films
KOREA	Split country
SMELL	Ammonia, e.g.
ESPN	___ Zone (bar and restaurant chain)
CANNY	Street-smart
CAREFREE	Happy-go-lucky
WHOM	Pronoun in a Hemingway title
MOONWALKS	First baseman Vaughn's book about bad pitching?
WILL	Something read in many a murder mystery
SNORE	Night sound
SIGNFOR	Confirm the receipt of
OSIRIS	Egyptian underworld god
DISPEL	Put to rest, in a way
DOIN	Finish off
NON	Normandy negative
NEPAL	It abuts Tibet
ONICE	Chilling
LEN	QB Dawson
BOG	Spongy ground
BOOST	Shot in the arm
SAL	Erie Canal mule
ENGULF	Swallow up
USES	Employs
GOING	On the way out
GYMS	B-ball sites
GILA	Arizona river
PIUS	Pope with an appropriate-sounding name
RAYONFIBER	Singer Charles's book about healthy eating?
ALA	Carte start
BIZ	Show ___
EVE	"Who's That Girl?" rapper
RED	Carrot-top's nickname
ACNE	Teen worry
ELMS	The shady bunch?
OLIVE	Drink garnish
LESS	Reduced by
EAST	All-star game side
RAZED	Brought down to earth?
