AMEBA	Amorphous creature
ARTS	Song and dance, e.g.
MIRE	Bog down
EPIC	"Cleopatra," for one
BEARUP	Withstand hardship
ANGELS	Winged ones
GMAC	Auto financing co.
GROOMED	Neatened up
MADDOX	Tommy ___, 2001 M.V.P. of the XFL
AGEE	Writer James
CARS	Consumer Reports topic
ASP	Egyptian cobra
APOLLO	Lunar program
SHRIEK	Horror film sound
PIETAS	Some religious artworks
RIPENS	Turns red, perhaps
SETT	Small paving stone
RAGA	Eastern music
PHI	Upsilon follower
TRIAGE	Emergency processing
ODER	Baltic feeder
ORE	Ida. neighbor
SECRETCODES	Some spy materials
CITES	Names as a source
LIT	Bombed
ULTIMO	In the previous month
FLEA	One jumping in a doghouse?
FOND	Like some memories
WHIPS	Defeats handily
WBA	Pugs' org.
HAM	It may be cured
IGO	"My turn!"
TEXTBOOKS	New school year purchases
THAT	Just one of those things?
BUY	Be convinced of
BAG	Capture
JED	Clampett patriarch of 1960's TV
JUNE	6, written out
HUN	Pillager of yore
AMOROUS	In the mood
RISK	Classic board game
OOH	Sound of delight
PAYDIRT	Something to hit
POSER	Tough one
IMF	Global finance org.
ROE	Lobsters-to-be
TBS	Noted airer of classic sitcoms
ION	Charge carrier
GOT	Picked up
GLYCINE	Amino acid found in sugar cane
MOB	___ rule
EGGSHELLS	Breakfast refuse
EMBODY	Personify
GIRLIE	Kind of magazine
GLADES	Sylvan clearings
LETTER	Athletic award
SAFES	Hotel amenities
SUCRES	Former Ecuadoran money
ALKANE	Saturated hydrocarbon
MILK	Exploit, informally
EYEFUL	Lot to see
FATS	Trans ___
BRA	It may be under a top
GETCRACKING	Order appropriate for 20-, 28- and 44-Across?
GAEL	Highlander
ENVY	"Men always hate most what they ___ most": Mencken
IVAN	Director Reitman
NETS	Brings home
GLEE	Pure delight
OLD	Familiar
ANTI	Opposer
TRAVEL	Go places
DIE	Mint device
EVEN	All paid up
SENATE	It has 100 seats
YES	Ouija response
LYRE	Orpheus' instrument
SENSE	Just know
