PLANB	Backup
PEPE	Tio ___ (sherry brand)
LOON	Crazy
ALIT	Set down
NINER	Bronc rival
BADRAP	Wrongful slammer sentence, say
TOTS	Squirts
THX	Appreciation abbreviation
OATHS	Curses
TREO	Palm smartphone
SPRUCE	Smart
CCUP	Size in a lingerie shop
COTEDAZUR	Fashionable resort area
CREPEPAPER	Piñata decoration
UNDETERRED	Not put off
PEST	Raid victim
EOLIANHARP	Music maker "played" by the wind
NESCAFE	Instant success?
ORNE	Basse-Normandie department
POINDEXTER	Stereotypical nerd
TEDS	2004-06 poet laureate Kooser and others
ENTERS	Boards
HOUSEPET	Fluffy, perhaps
SAROD	Indian lute
RACES	Tears
EXILED	Like Shakespeare's Prospero, e.g.
CADET	Trainee
RAM	Zodiac symbol
RAJAS	Javanese chiefs
AVASTMATEY	Salt halter
MICKEYFINN	It'll knock you out after you knock it back
PAX	___ Britannica
SERAPES	Navajo handicrafts
SINISE	1996 Golden Globe winner for "Truman"
SKEDS	Variety listings
AVIS	Car rental company founder Warren
SQUARECUT	Like some diamonds
FIJI	Country with coups d'état in 2000 and 2006
JIM	Lord of fiction
OZARK	Airline purchased by T.W.A. in 1986
JACQUELINEDUPRE	Cellist who debuted at London's Wigmore Hall at age 16
UPDOS	Beehives, e.g.
ERASMUS	He wrote "In the country of the blind the one-eyed man is king"
ASKUP	Invite to one's penthouse suite
EMIR	Robed dignitary
REED	Fen bender
STEADED	Availed
ENIGMA	Knot
SAS	It lands at Landvetter
SHAZAM	Gomer Pyle expletive
RDS	Holders of shoulders: Abbr.
MYRON	Ancient Greek sculptor famous for his athletes in bronze
HESHE	Inclusive pronoun
HESSE	Where the Fulda flows
ELZIE	Cartoonist Segar
SAFESIDE	Cautious people stay on it
SARG	Pioneering puppeteer
DAIS	Place of honor
MALONE	Shakespearean scholar Edmond
OLGA	Grammy-winning merengue singer Tañón
NEON	Rialto sign
ERNS	Coastal avifauna
ATIC	Problem ending
GASGUZZLER	Expensive choice for a commuter
GSA	Fed. property overseer
RENU	Big name in contact lens cleaners
MISSSAIGON	"Madame Butterfly," updated
GYNT	Peer on a stage
ASEA	Being tossed, maybe
MEANS	Statistical calculations
