DEVILS	2003 Stanley Cup champions
DAMU	Block
EMUS	Birds that can sprint at 30 m.p.h.
VAST	Extensive
INCA	One of a people conquered in 1533
LILI	French orphan of film
STERNO	Camper's aid
LIMNS	Portrays
LASS	Miss
IFAT	"___ first ..."
MOSAIC	Arrangement of 40-Downs
NOSIREE	"Ain't gonna happen"
STYRO	Commercial prefix with foam
IPOD	It's found in many pockets nowadays
IOS	Cyclades island
PREV	Before: Abbr.
OZAWA	Longtime Boston Symphony conductor
DOUBLEL	Hollow center?
DBOY	Command to an overfriendly canine
DTHERFIELDLINE	Barely fair, maybe
BEET	Sugar source
ORAL	Read aloud
YIPE	Exclamation of surprise
AMANITA	Genus of poisonous mushrooms
ASSUCH	In itself
AFOOT	Brewing
ORZO	Pasta used in soups
TERI	Actress Polo
MUSCLES	Nickname for a bodybuilder
SASSY	Flip
SEAU	Junior in the N.F.L.
HEAP	Bunch
USTAIRSDSTAIRS	Popular 1970s British TV series
DSHIFTED	Went from second to first, say
SNAPON	Fasten with a pop
VWBEETLE	Bug
ELF	Will Ferrell title role
NUS	Fraternity letters
IRONS	Dungeon items
STANDINGUR	Erect
ALLR	"Now you're talking!"
LITUTOCHANCE	Took the risk
LONBASE	Not brought home
INERROR	Off
TESSERA	See 9-Down
UAT	Awake by
TMEN	Bootleggers' bane
ALI	Son-in-law of Muhammad
NOD	Go-ahead
ATO	From ___ Z
ONEONE	Common hockey score
EFFUSE	Radiate
UMAMI	Proposed "fifth taste," which means "savory" in Japanese
SAVES	Keeps
EXERT	Put forth
ONEAM	When a second-shift employee may get home
HILO	City that overlooks a bay of the same name
ESPANOL	Opening screen option on many an A.T.M.
SHALLI	"Do you want me to?"
OSSA	Tasmania's highest peak
IMAX	"Think big" sloganeer
NESTED	One inside another
DATSUN	Z-car brand
FIDO	Spot alternative
OXY	International oil and gas giant, informally
HONES	Fine-tunes
LEAVE	Split
LEOIV	Benedict III's predecessor
BRS	Abbr. in a real-estate listing
NAST	Creator of the Tammany Hall tiger
SHES	Misses, e.g.
XSANDOS	Tic-tac-toe plays
SUBZERO	Negative
ELMER	Warner Brothers shotgun toter
AREI	"Whose woods these ___ think I know": Frost
ITSRUYOURALLEY	Sentiment suggesting "Try this!"
THEL	Liberals
LADPAYMENT	Secured, in a way, with "on"
YUL	Actor Brynner
INA	___ rut
ODIST	Keats, e.g.
SORT	Ilk
SEDAN	It may have two doors
NSA	Cipher org.
BLANE	Ralph who co-wrote "Have Yourself a Merry Little Christmas"
ANS	T or F, e.g.: Abbr.
BIL	Cartoonist Keane
BIGDIG	Construction project that gave rise to the Ted Williams Tunnel
ERASMUS	"The Praise of Folly" writer
MOSSY	Sphagnous
DSIZING	Cause of unemployment
IDAHOS	Some taters
DIVISOR	It might follow a slash mark
DONE	Over
SILENTU	Building component?
ONADIET	Shrinking, perhaps
RESTEDU	Took it easy
RON	"Amen!"
SPADE	Club alternative
SPOILT	Gone bad
SUDOG	Slangy street greeting
DELICACY	Frog legs, to some
NINE	Ball with a yellow stripe
SETUS	Arrangements
STALL	Hold off
ERNIE	TV puppet
TENET	Precept
SPA	Four-star hotel amenity
STAN	Pal of Kenny and Kyle
ARR	J.F.K. info: Abbr.
RPM	Tach reading
REND	Football defensive line position
ELAS	Old musical high notes
TREYS	Deuce beaters
TOYSHOP	Where to pick up pick-up sticks
STAGER	Common entry point
LEIF	Viking Ericson
FIRS	Alpine sights
EDT	Summer Mass. setting
ANNOY	Bug
AIMTO	"We ___ please"
MAGI	Nativity scene figures
AFT	Behind
GOD	Happen, slangily
GINNIE	___ Mae
NAH	"I'll pass"
LIEU	Stead
ONLEASE	Like most apartments
OPULENT	Plush
ESTHETE	Connoisseur
FOCI	A hyperbola has two
INHOCK	Pawned
RATED	Having stars, say
LETRIP	Deliver, as a harsh criticism
IQS	Head counts?
TNG	"Star Trek" TV series, to fans
SITDANDSHUTU	Exasperated teacher's cry
ISEULT	Tristram's love
DOURER	More gloomy
AQUA	Shade of blue
AIMEE	Singer Mann
TEATS	Kids drink from them
AWRAP	"That's ___!"
CHO	Comedian Margaret
GILLSLIT	Part of a shark's respiratory system
GAZE	Look
IBID	Footnote abbr.
LEND	Impart
TIME	Player's call
RWHEREYOULTHEM	Missing glasses' location, usually
REAR	Behind
ELSA	"Bridal Chorus" bride
LEYE	Bazooka Joe's working peeper
TARP	Ground cover
HSIA	Early Chinese dynasty
EENY	Choice word
MSGS	E-mail, e.g.: Abbr.
ABEL	Genesis son
EMIT	Issue
TOM	Cartoon feline
REUEL	The second "R" in J. R. R. Tolkien
CREASES	Wrinkles
ZINE	Fan mag
NEMO	Pixar fish
ATLAS	Africa's ___ Mountains
KEYRING	A super's may be supersized
EDDY	Result of pulling the plug?
TEEM	Overflow
PETRA	Unesco World Heritage Site in Jordan
REPAYS	Gives in return
