ANTRE	Cavern
AMPS	Band boosters
NOAIR	Condition in outer space
TOEOFFROG	Ingredient in a witches' brew
REAUDIT	Check again, as the books
EDNA	"Enid and ___ dine" (palindrome)
BIG	Famous
BUM	Cadge
ISAAC	Prolific Asimov
GETSAT	Intimates
OSSE	Bone: Prefix
OWLS	Mice catchers
SEAEELS	Congers
SAUER	Kraut modifier
EIEIO	Kid's song refrain
MOOED	Mimicked some farm animals
USE	Application
WEAIM	"___ to please"
MRT	Mohawked actor of 1980s TV
PAEAN	Song of praise
MATTLAUER	Longtime morning TV host
TIRE	It rotates ... and may be rotated
SIOUAN	Iowa, for one
NOTRE	___ Dame
ASISEEIT	"From my perspective ..."
RFD	Remote mail service: Abbr.
OSCAR	"And the ___ goes to ..."
SHED	Lose hair
ERO	Ranch extension?
FIFTH	Award place for a green ribbon
FUROR	Uproar
TELL	Discern
LAYUP	Easy two-pointer
TORTURED	Stretched much too far, as language
TIN	Common alloy component
ODE	Literature class reading
DAD	Pop
ASKTO	Invite for
KERFLOOEY	Out of whack
TIE	Liaison
ONS	Slip-___ (some shoes)
IDO	"Yes"
REDARMY	Soviet military force
ROLE	It must be cast
MEARA	Stiller's partner
EIN	A, as in Augsburg
NEGRO	Part of U.N.C.F.
RITEAID	Walgreens rival
DOEUVRES	Hors ___
VOTEOUT	Reject, as an incumbent in an election
IRAQ	Mesopotamia, today
ASTO	Memo start
QUEUES	Lines
LAPOF	___ luxury
ATT	Call letters?
AEIOU	Language quintet comprising the only elements in the circled boxes
TEEUP	Prepare for a drive
SUPER	Fab
PRNDL	Gearshift sequence
TLC	Lots of caresses, e.g., for short
CUEIN	Make aware
BEEEATER	Relative of a kingfisher
BLY	Globe circler of 1889-90
ARNO	River through Pisa
ATEOUT	Had dinner at a restaurant
THDS	Seminary degs.
TYNE	Actress Daly
LIEAROUND	Be idle
DUO	Husband-and-wife team, e.g.
HOOEY	Rubbish
YOUIN	Query at a poker table
EDU	E-mail suffix
DUEIN	Expected
UPDO	Prom coif
SLO	___-pitch
STYNE	"Funny Girl" composer
