FOCAL	Centrally located
FICA	Pay stub abbr.
ONUS	Cross to bear
CARP	Grouse
ANVILS	12-Down hardware
LEERAT	Ogle
EPIC	Ambitious in scope
EGAN	New York cardinal
PAL	Chum
ILLSAY	"You bet!"
CASEY	"Mighty" one who struck out
RASH	Reaction to poison oak
REDRIVER	1948 John Wayne western
ALLEGE	Make as a claim
SMITHY	Place with a forge
HOIST	Use a block and tackle on
INANE	Vacant, in a way
GALA	Black-tie affair
ELMO	Red Muppet
CURVEBALLS	Tricky, unexpected questions
BIB	Splatter catcher
DLII	Mid sixth-century year
ASPIRIN	It's a relief
SECRETS	Spies seek them
CLIMB	Gain altitude
LAB	Experiment site
DAYLIGHT	Vampire's undoing
DUCHESS	Title for Camilla
CHEST	Pirate's storage
CUT	Drop from the team
HRH	Initials for Camilla
ELI	One of football's Manning brothers
BUY	Super deal
BOT	Science fair creation, briefly
IVEY	"Hurlyburly" Tony winner Judith
URL	Web address
IOC	Summer Games org.
ISR	Acre's locale: Abbr.
AME	Letters on some churches
ATM	Source of bread, for short
THINGSTHATBREAK	What 17-, 24-, 48- and 57-Across are
NEWSDESK	Bulletin-creating department
GUSTO	Hearty enjoyment
ALL	Every one
EPA	Org. monitoring 38-Down quality
AIR	See 37-Down
KTS	Measures of gold purity: Abbr.
EUR	Prefix with -asian
ELM	"Man's the ___, and Wealth the vine, / Stanch and strong the tendrils twine": Emerson
PIT	Place to refuel
LAWS	Doctor of ___ (degree)
LIEDTO	Purposely misinformed
ADAGIO	Slowly, on a score
ESL	Subj. for aliens
EYECUP	Glass in a medicine cabinet
TSARS	Winter Palace residents
TWOWAY	Involving give-and-take
SEDATE	Unruffled
KIDSTOYS	Stairway hazards, in some homes
KLEIN	Calvin of fashion
ORONO	Maine college town
EWE	Meadow mother
EON	Long, long time
LEADORE	Galena or anglesite
GOODONE	"Nice shot!"
GABS	Chatters
OVEN	Rack holder
NEST	Fit snugly
ESTA	"Dónde ___ ...?"
EDGE	Advantage
OCEANWAVES	View from the shore
EMU	Australian runner
ITIS	Reply to "That so?"
NUMB	Unfeeling
ATEST	Alamogordo trial
NOOK	Dinette spot
OPUS	Numbered work
YENTA	Meddlesome sort
