CERAMIC	Like Delftware
COGENCY	Persuasiveness
EPOXIED	Glued, in a way
RETUNES	Makes grand adjustments?
ANODES	Magnetron parts
MARES	Some nags
INAS	Much may come after it
CDC	Quarantining org.
SPENSER	Robert B. Parker's private eye
SHARES	Corporation allocation
PUNKY	Very slow-burning, as a fire
ETDS	Waiting area announcements, briefly
NCR	Big A.T.M. maker
SAUSAGE	It may be chain-linked
ESIASON	Star QB for the 1980s-'90s Bengals
RENTALS	Many tuxes
OPENANDSHUTCASE	Court slam dunk
SKIRTTHEISSUE	Equivocate
GOTORACKANDRUIN	Seriously deteriorate
EXUDES	Projects
IRKS	Rubs the wrong way
SAT	Gathered dust
NINES	Rewards for good dives
TREY	It's in the cards
TALC	Creator of a bathroom cloud
NASA	"The Right Stuff" subj.
NLRB	Collective bargaining watchdog org.
CEES	Stucco ingredients?
BATS	Dotty
BIAS	Pollster's concern
ALGOL	Precursor of Pascal
AIMS	Points
YDS	Things to rush for: Abbr.
SILT	It builds up in bars
SEMI	Important match
SIRENS	Designing women
SORE	Irritated
BEACHCOMB	Use a metal detector, maybe
BAMA	Southeastern Conference team, for short
CART	Online shopping icon
SCRAMS	Bolts
SNIGGLE	Fish by thrusting a baited hook into holes
CARPOOL	Auto-rotating system
ROMANCE	Bookstore section
EARS	Sound system parts?
CFS	Baseball positions: Abbr.
COSMIST	Philosophical studier of the universe
FREESIA	Cousin of a crocus
STARMAN	DC Comics superhero
NAOMI	Wolf who wrote "The Beauty Myth"
DIRE	Life-or-death
DUPONT	Spandex source
SORT	Fashion
STOLES	Choir robe accessories
IRMA	2006 Grammy-winning blues singer ___ Thomas
RUST	Fall shade
RAJAS	Asian nobles
ATSEA	See 46-Across
ASAHI	Brew from Tokyo
GPA	Sch. figure
SAPS	With 44-Across, 1940 Laurel and Hardy film
SOLI	Star turns
ISOMER	Chemical relative
INTR	Preface: Abbr.
GONZOJOURNALISM	Writing that mixes reportage and fiction
ZAG	Turn back
RST	Letter run
LOCALANESTHESIA	It's not a total knockout
ELEGIST	Writer of pieces in passing?
TRISTAN	Wagner opera title role
