MAMBO	Steps in Havana
MOLS	Chem. units
ANON	In a bit
MENU	Orders come from it
BAGGAGEHANDLER	Psychiatrist's other job?
OLDGLORY	American standard
SARCASM	It may be dripping
SASES	Letter enclosures: Abbr.
AMTS	Acct. figures
RNA	Messenger ___
CENSORS	Wartime positions
ASCOT	Broad neck scarf
SIESTA	Break, of a sort
MAR	Scratch or dent
AGE	Mellow, in a way
ARNIE	1970's sitcom
GUNN	"Treasure Island" pirate Ben ___
ELEGY	"In Memoriam," e.g.
APTS	What supers supervise: Abbr.
ASKS	Wants for a price
PHOTOFINISHER	Jockey's other job?
TAKEAIMAT	Go for
SHORTTONS	Shipping units
ONEAL	Actor Ryan or Ron
AMNESIA	Occasional soap opera plot feature
RULE	Measuring stick
ERMA	Humorist Bombeck
SHAH	Who ran Iran, once
LONGDISTANCERUNNER	Telecom executive's other job?
ILLS	Panacea's targets
URGED	Implored
KOKO	Famous language-signing gorilla
SNUGGLES	Curls up
SOS	Coast Guard concern
RINGMASTER	Boxing referee's other job?
APOP	Per
ALLS	Cure-___ (panaceas)
COTTAGE	"Hansel and Gretel" setting
COGNOMEN	Caesar, for Gaius Julius Caesar
ABATTOIR	Slaughterhouse
YAP	Puppy's sound
OAT	Hull enclosure
AMIGOS	Film's "three caballeros," e.g.
ALPO	Chow chow chow
MOIL	Do drudgery
INTL	Global: Abbr.
NOR	Scand. land
NARC	Worker with a dog
ABE	"Honest" one
OFFIT	"Come ___!"
FRI	When "Route 66" was on: Abbr.
LONER	Homebody
SAGS	Isn't straight in the middle
SUE	Take action against
ADMIT	Ticket word
MART	Grocery
ICY	Standoffish
TEMPTS	Lures
PRIMO	Tip-top
PITHY	Terse
URN	Ming thing
TUT	When repeated, show disdain
TDS	QB's throw them
USSR	Locale in a Beatles song
ACED	Zipped through
DART	Zip
INAN	___ instant
OLLA	Spicy stew
SECONDSTORYMAN	Sequel writer's other job?
SAN	___ Pedro
NIGGARD	Stingy person
ORBITED	Circled
NIHILO	Ex ___ (from nothing)
ITS	Carole King's "___ Too Late"
NBA	All-___ Team
BELTER	Hardly a crooner
MISSORT	Stick in the wrong place
PRIGS	Overly decorous sorts
GENERALCOUNSEL	Military adviser's other job?
CAMDEN	New Jersey home of Walt Whitman
CSI	Top-rated TV show of 2002-3
AWN	Wheat covering
MIDDLEMANAGER	Diet doctor's other job?
LEG	Relay part
LIL	Rap's ___ Kim
RIB	Part of many cages
ATTHEHOP	#1 Danny & the Juniors hit
AEC	Old nuclear regulatory org.
OPT	Make a selection
PTS	Jar sizes: Abbr.
SWILL	Garbage
DINGS	Quiz show sounds
DISCUS	Decathlon equipment
STEPONIT	"Hurry up!"
RIMES	Singer LeAnn
MISUSERS	Manglers
INEPT	Klutzy
INDETAIL	Meticulously
AGEE	James who wrote "The Morning Watch"
ATF	Raiding grp.
FERN	Spore source
TIC	Quirk
ALERTS	Tips off
APR	Fig. in car ads
DREGS	Remains
FREEZES	Holds a pose
FROM	Gift tag word
ZOO	Animal home
POR	___ favor
GIL	2003 Indy winner ___ de Ferran
GOLDCHAIN	Piece of bling-bling
INORDERTO	So that one could
RECORDPRODUCER	File clerk's other job?
ORI	"... ___ shall die"
CORK	Stop at a vineyard
ELM	Common street name
ASPS	Some cobras
SOAK	Take to the cleaners
PALE	Light
STAN	Hockey's Mikita
ONED	Like a line, in math
DAN	Forebear of one of the 12 tribes of Israel
EURO	Prefix with trash
ONO	Sean ___ Lennon
SOL	Nearby star
FLOAT	Drink with a straw
FORAGERS	Deer, e.g.
LOMAN	Biff ___, Arthur Miller character
NOAH	Boat builder
SIMON	Sharp-tongued "American Idol" judge
OTERI	Cheri formerly of "S.N.L."
TERM	Something to serve
TIEDYES	Some hippie wear
OCALA	Florida city
DRANO	Liquid Plumr rival
TIT	Little bird
TATTOO	Needlework?
IRK	Stick in one's craw
BROKEN	Suitable to be ridden, as a horse
BEEF	Grouse
CDN	Like some dollars on currency exch. boards
AMS	Classified times: Abbr.
MUDD	Newsman Roger
SNEES	Bygone blades
BETAKES	Causes to go
BETSY	Ross of fame
KERNS	Joanna of "Growing Pains"
BEAU	Steady
BROWS	Anatomical ridges
HEADHUNTER	Safari guide's other job?
DORA	"David Copperfield" wife
TNUT	Letter-shaped fastener
TED	Guitarist Nugent
PREGNANT	Expecting
PROS	Specialists
ASEA	In full sail
NOSY	Inquisitive
TRES	___ belle
ARGO	Famous 50-oared ship
DENTISTRYPROFESSOR	Drill instructor's other job?
STP	Big race sponsor
PRE	Not post-
ITER	Old Roman road
DEUS	Jupiter, e.g.
TONEROW	12-note series
REESE	Eponymous candy manufacturer Harry
NORA	"The Thin Man" role
STY	Pen
POSSESS	Be born with
SLAYS	Wows
