CCAR	Mobile dining area
CSODA	Mixer
COMER	Rising star
AMICA	Lady friend in Italy
RETAR	Fix, as a drive
HUSH	Quiet
HAVETO	Must
UNES	French individuals
SKI	Item between two poles
HANOI	Former enemy capital
OPENH	Kind of surgery
OCEANIC	Deep-sea
PART	Goal of a reading
ERIECANAL	It opened in 1825
NOTAT	Absent from
HBURN	Possible result of a spicy meal
SOME	Partly
ANKA	"Put Your Head on My Shoulder" singer, 1959
CAROB	Chocolate substitute
OMIT	Strike
VEIN	Shot's target, maybe
ERITU	"Un Ballo in Maschera" aria
DECADES	10's and 20's, e.g.
DASH	Certain race
ONATEAR	Rampaging
NOSIR	Polite turndown
ARARAT	Literally, "high ground"
PION	Subatomic particle
PEEKERS	Impatient gift recipients
CTN	U.P.S. unit: Abbr.
SOIE	French silk
IMON	"___ a roll!"
SIVA	Part of the Hindu trinity
VICI	Last of a Latin trio
MATCH	Success on a slot machine
MEL	Sportscaster Allen
ALI	Ayatollah ___ Khamenei
TOSCANINI	Longtime NBC Symphony conductor
CIAO	"Later"
MEDICINES	Preparations
DETS	Police staff: Abbr.
ERE	Afore
SAS	European carrier
ELOI	"The Time Machine" race
JOKER	It's not found within the four corners of this puzzle
JOREL	Superman's father
CARA	Italian sweetie
LISABONET	"The Cosby Show" actress
BIGBANG	How it all started, it's thought
FILES	X-___
FUNT	Old TV host Allen
COIR	Coconut fiber
RSTU	Queue after Q
TOOLER	Shop worker
NEA	Perennial subj. of federal funding debates
NEILD	Singer with a 1978 #1 hit with Barbra Streisand
ENTER	Log
GELS	Hair products
LEARY	Actor/comedian Denis
ONDECK	Next
DUMAS	"Twenty Years After" author
ENOLA	___ Gay
CDROM	Computer game format
KATES	Bag lady?
ENNOBLE	Dignify
ONIN	"Come ___"
ROTUNDA	Washington landmark, with "the"
RAGU	Prego rival
ITINA	1986 Turner autobiography
ARAL	Asian sea name
RAO	1990's Indian P.M.
MORT	Cartoonist Walker
LENIN	Writer of the "April Theses"
RAGE	Red state
ALOE	Moisturizer ingredient
DRING	Status-changing gift
YOUR	"___ choice"
SAMS	1929 literary character in San Francisco
