ITSASHAME	"Alas"
IBIZA	One of the Pine Islands
TINED	Like some harrows
SKALD	Viking poet
AIMING	Rifle range activity
SNOG	Make out, to Harry Potter
HIM	Exclamation at a lineup
AWE	Something to gaze in
MANHOOD	Virility
EXTANT	Not lost
TALKS	Is successfully interrogated
TACKY	In poor shape
ALOE	Hydrocortisone additive
LAZYBONES	Person prone to proneness?
KNEEBENDS	Ups and downs of exercise?
SANDBLAST	Remove graffiti from, in a way
BIKINIWAX	Summer salon service, for some
ALANA	One of Ariel's sisters in "The Little Mermaid"
INAMOMENT	Directly
COZEN	Swindle
ZELIG	Title role in a 1983 black-and-white film
HAWKEYED	Keenly observant
WES	Wide receiver Welker
ADDN	Annex: Abbr.
STONEY	"___ End" (1971 Barbra Streisand hit)
SLIM	Fat, as a chance
TONY	What "1776" got in 1969
BBB	Org. with the motto "Start With Trust"
GALOOTS	Lugs
AMOS	Biblical follower of 28-Across
JOEL	Biblical preceder of 27-Down
JOB	Something to land
JUG	One with an ear and a small mouth
JAMPACKED	Very full
UNITPRICE	Sales statistic
GAMETABLE	Play furniture?
MIND	What an idea comes to
GONNA	Broadway's "Never ___ Dance"
GALA	Festive
ANATOMY	Makeup lessons?
TER	Thrice, to a pharmacist
SEABEDS	Wet bottoms
SECT	Friends, e.g.
ELIO	Chacon of the 1962 Mets
MIMES	Quietly tells a tale
HELL	Misery
HOSTILE	Inimical
SST	One with delta wings, briefly
PTER	Wing: Prefix
ASOCIAL	Not mixing well
APE	Mad about, with "over"
STAFFS	Gets help for
LOTTOS	Means of quick wealth
APT	Well-said
OPTSTO	Decides one will
OMITS	Passes by
OLEN	Author Robert ___ Butler
LEOXI	Leader who died 27 days after his election
ERRED	Was faulty?
NOMDE	___ guerre
CRABMEAT	Target of some leg-pulling
BEAM	Appear elated
UTERO	In ___ diagnosis
USMA	Black Knights' home: Abbr.
KIBEI	U.S.-born Japanese educated in Japan
FIRESTORM	Violent outburst
RUT	Progress preventer
EMS	Rescue inits.
ECLAT	Brilliant effect
FLUMMOXED	At a loss
DEEMS	Thinks
SETSASIDE	Saves
