ALMS	Charitable contributions
ABOARD	"All ___!"
LATVIA	8-Down's home
MCBEAL	TV character with dancing baby hallucinations
SHINNYUP	Climb, as a rope
THATCH	Bungalow roof
THEE	What you used to be?
HONCHO	Big gun
ARG	The Iguazu Riv. forms part of its border
TAL	1960s chess champion Mikhail
CTA	L overseer
HINTEDAT	Alluded to
TOEPICK	Part of an ice skater's shoe
TUT	When repeated, an admonishment
ONT	Mich. neighbor
EDO	Capital until 1868
PARTISAN	Like politics, by nature
INNIE	Hole just above a belt
CCELL	Flashlight battery
KEYED	Worked (up)
BACH	One of the Three B's
HORATIO	Friend of Hamlet
ODOM	N.B.A. star nicknamed the Candy Man
SUNDANCE	Film festival name since 1990
SANAA	World capital almost 1 1/2 miles above sea level
OTBINENGLAND	London-based place to play the ponies?
NUT	Bit in trail mix
ATTORNEY	Firm part
AVENUEC	Street bordering New York's Stuyvesant Town
TOAN	"___ Athlete Dying Young" (A. E. Housman poem)
ACRE	Part of a plot
TILE	8-point X, e.g.
RIANT	Laughing
HOLDEMCAULFIELD	J. D. Salinger character's favorite game?
OROZCO	"The Epic of American Civilization" muralist
LORE	Stuff of legends
DINT	Effort
UNPOTS	Begins to transplant
LEANTO	"Lost" shelter
FEN	Squishy place
DALY	Golfer John
TOROID	Doughnut shape
TASTE	Art collector's asset
RANEES	Asian royalty
USA	Letters on an Olympics jersey
SSS	Snake's warning
ORNATE	Busy
TESLA	Rock band with an inventor's name
PANARAB	Like Nasser's movement
RETURNER	Football special teams player
ANACONDA	Tropical menace
BACKSEAT	Roadster's lack
CRAPSSUZETTE	Game played with dice set on fire?
CROAKERS	Frogs
RONDELET	Seven-line poem
ATTENDER	One who's all there?
UAR	Bygone geographical inits.
JON	"Mad Men" actor Hamm
JOT	Scribble
NENA	"99 Luftballons" hit-maker of 1984
ROT	Spoilage
STAC	Short and detached, in mus.
SCOTTO	Diva Renata
COMP	Give for free
OFT	Frequently, in brief
TAC	One-third of a game win
ONTO	"I'm ___ you!"
ONO	Well-known Tokyo-born singer
EROS	Libido
SAKI	"The Open Window" story writer
SLOTSOFLUCK	One-armed bandits?
SER	Talk to the flock: Abbr.
LOA	Mau ___ (forever, in Hawaii)
ADENI	Arabian Peninsula native
ISM	School: Suffix
ABEAM	Sideways on a ship
BEEBE	Former Buffalo Bills great Don
TOROS	Participants in an annual run
KENOSPEAKER	Relative of a bingo caller?
POPDUO	Hall & Oates, e.g.
ERESTU	1974 top 10 hit whose title means "You Are"
ART	Canvases, say
PLAN	Insurer's offering
LEBEAU	Coach Dick in the N.F.L. Hall of Fame
ARA	The Altar
NICHE	Recess
ANNE	Author McCaffrey
ELD	Antiquity, quaintly
MORRIE	Mitch Albom title person
ERIE	Losing tribe in the Beaver Wars
ECO	Prefix with warrior
EDA	Psychologist LeShan
REED	Crumhorn, e.g.
DAYTRADE	Do some quick market work
PET	Dearie
BURTBACCARAT	Card game played Reynolds's way?
UNSTATED	Tacit
ROUE	Smooth operator
TREO	Early smartphone
ATBOTTOM	Basically
STRANDS	Leaves high and dry
NOR	Neighbor of Swe.
LENORE	Poe's "rare and radiant maiden"
LOEB	Trial of the Century defendant
HOT	On a roll
YOUTOO	"I'm not the only one?"
OLAND	"Shanghai Express" actor
SUEANE	Actress Langdon
NTUPLE	Mathematical sequence of unknown length
BABA	___ ghanouj
AGATHA	Annual award for mystery writers
BAREST	Most meager
ASTROS	Texas nine
DONTROULETTEOUT	"Please consider playing the wheel again"?
DICTA	Mandates
OGRES	Meanies
NOONS	Common times for duels
TBSP	0.5 fl. oz.
TOGAS	"Life of Brian" outfits
TSA	"Your safety is our priority" org.
IGOR	Stereotypical lab assistant's name
ABBA	Alphabetically first inductee in the Rock and Roll Hall of Fame
UPSTART	Arriviste
PLAY	Bit of theatrics
CROATIAN	Split personality?
TEN	"Taps" hour
IRT	N.Y.C. subway line
AES	1950s political inits.
STAKEPLATTER	Pot with a pile of chips?
ARI	Actress Graynor
KGS	Metric weights: Abbr.
EON	Big stretch?
TENDERED	Offered in payment
PERGOLA	Vine-covered colonnade
OHSO	Emphatically
ASSENTS	Nods
DISNEY	Radio ___
MATS	Gym gear
