ITALIC	Slanted
INLEAF	Green
TOESHOE	It has a tip for a ballerina
AVATARS	Rama and Krishna, e.g.
LED	Was up
INIT	Quick approval: Abbr.
CANAPE	Appetite whetter
SIMPER	Silly smile
SAL	Baseball's Maglie
IZAAK	"The Compleat Angler" author Walton
MADRID	Siege site of 1936-39
PLIANT	Flexible
EEE	Extra-wide spec
RASPS	Farriers' tools
IONESCO	"Le Rhinocéros" playwright
ITCHIEST	Most eager to go
OEO	Antipoverty agcy.
NEMESIS	Moriarty, to Holmes
ESPN	X Games airer
SHOOTINGSTARS	Job for a film photographer?
COSTAS	Multi-Emmy-winning NBC sportscaster
OTTERS	Bewhiskered animals
NOVENA	Protracted prayer
AZALEA	Relative of a rhododendron
TEESHOT	Start of a hole
LEADINGLADIES	Job for a ballroom dance instructor?
GOALS	Subject heading for strategizers
COMPOST	Refuse to help in the garden?
EST	Is in the Vatican
TAO	Sing ___ Daily, major Hong Kong newspaper
ARA	Altar in the sky
PAH	"Nonsense!"
ALLUPSET	In a tizzy
ENOTE	Internet message
AHAS	Discovery accompaniers
SETUP	Party prep
PACKINGSLIPS	Job for a lingerie salesclerk?
CLANG	Worrisome mechanical sound
GST	Prime meridian std.
POTSY	Kids' jumping game
TAR	Popeye, for one
FORETELL	Divine
TODIEFOR	Absolutely fabulous
DTS	Jimjams
LEOI	Sainted pope called "the Great"
ISS	No. of People, say
ESTO	Start of Idaho's motto
SAC	Anatomical enclosure
CARO	Italian sweetheart
TRUSTSIN	Banks on
RODS	Farm measures
IMSO	"___ Excited" (Pointer Sisters hit)
UDO	Vegetable with sushi
ONME	"This one's ___"
NARC	Officer who may not be in uniform
ROPIER	More cordlike
CUPCAKE	See 74-Across
OPTS	Elects
MGMT	Bus. runners
MISCUE	Flub
TRACTS	Development sites
DUMPINGGROUNDS	Job for a coffee shop employee?
DAEMON	Subordinate deity, in classical myth
UPDATE	Modernize
MATCHINGPAIRS	Job for a dating service counselor?
GOUP	Ascend
NOEXIT	"You can't get out this way"
YESSIR	Base approval
ELEVATOR	Lift
APA	Shrinks' org.
EMO	Modern music genre
OPPOSES	Blocks
SYNC	Harmony
LOTSA	Mucho
EDT	Mass. summer setting
FEUD	"Family ___"
DOWNTOWN	Where some major arteries go
ICE	Decorate, as a 54-Down
TYRE	It rolls on a Rolls
ROLE	Medea, for one
ACC	127-Down grp.
MACRO	PC user's shortcut
RELO	Move, in Realtor-speak
POLEAXE	Fearsome weapon
LOGE	Box
ENTS	Certain specialty docs
NOV	Martinmas's mo.
RUT	Grind
OTHERS	Miscellany
STARR	See 108-Down
WORKINGCLASSES	Job for a high school teacher?
GEICO	Competitor of State Farm
SAWTO	Handled
NEIL	Diamond of note
TANG	Bite
ATTAINTS	Disgraces
ETTE	Suffix with super
ETA	Info at SFO
NOMATTER	"Forget it"
MODELER	Hobbyist with toy trains, e.g.
RMN	J.F.K. debater in 1960
SIN	Sermon subject
NOMSG	Chinese restaurant sign
OWAR	Man chaser?
AIRDROP	Help from on high
RESIDUE	What's left
RIG	Fix
RRATED	Steamy, maybe
IAGREE	"Hear, hear!"
ORTO	"___ take arms ..."
MAB	Queen of the fairies
AGENAS	Early NASA rockets
BRENDA	With 86-Down, popular serial comic strip beginning in 1940
COURTIER	Rosencrantz or Guildenstern, in "Hamlet"
USABLE	Functional
ROOSTS	Settles down for the night
RAP	Least bit
DRAWINGROOMS	Job for an architect?
INREM	Against a thing, legally
ORIEL	Cantilevered window
ORSO	Roughly
AGAPE	Yawning
PLIE	Dancer's dip
INN	What a keeper may keep
EER	Poetic ending with how
SAT	Idled
TOIL	It might make you a sweater
DIO	The Divine, to da Vinci
TRILLIN	"With All Disrespect" essayist
IST	Suffix with spiritual
RUNNINGBOARDS	Job for a business tycoon?
UVA	The Cavaliers of coll. football
NSA	Hush-hush grp.
APO	Mil. mail depot
EERIEST	Supremely spooky
EVADES	Skirts
LIPOUT	Putter's near-miss
DESERTS	Jilts
MASALA	Mixture of many spices, in Indian cookery
ELOPES	Ties a no-frills knot?
