ARISTOCRAT	Noble
AWS	Cries heard around baby pictures
RIIS	New York's Jacob ___ Park
INDO	___-European
STEIN	Bar decoration
TESLAS	Magnetic induction units
ORT	Morsel
CPR	E.R. skill
RAE	Arctic explorer John
AREA	Bailiwick
TKTOCK	Clock sound
MISPLACING	Losing
MAL	Opposite of bien
ITA	"I've said ___ thousand times ..."
STKS	Library section
PHEW	"That was close!"
LEGOS	Building composition, maybe
ACEOUT	Beat, as the competition
CANNERS	Packing crew
ISE	Expert ending?
NEV	State since 1864: Abbr.
GSA	Govt. construction overseer
WINTERPARK	Florida destination for some snowbirds
ATTHECASES	Common carriers
SIDESTREET	Shortcut, perhaps
LAKEGENEVA	Its borders are French and Swiss
SOIL	Smudge
AOL	Earthlink competitor
LORES	Traditional bodies of knowledge
SWOON	React to Ricky Martin, say
NAACP	W. E. B. Du Bois was one of its founders
ATA	___ crossroads
CATCHON	Get the picture
PROPOSE	Suggest
COLA	What 7-Up isn't
LISA	A Simpson sister
ASPICS	Chilled garnishes
SUEDES	Fine jacket materials
DEEPEN	Intensify
ENCODE	Make secret
STYLE	Fashion
TSE	Lao-___
TRAPP	"The Sound of Music" family name
SUSHI	Sake go-with
ESTOS	These, to Juan
STAR	See 55-Across
KRISTI	Olympian Yamaguchi
TALE	Romance, perhaps
INON	Look ___
TRENT	Lott of Washington
RUST	Fall shade
TENTLED	Octopuslike
ATOP	On
PAM	Dawber of "Mork & Mindy"
ESPANA	Albéniz's "Cantos de ___"
ARTIEST	Most bohemian
SECY	Pres. appointee
ASTER	Bloom shaped like a 43-Across
REHEATS	Cooks, as leftovers
CPA	Tax prep. expert
SAILORS	"On the Town" characters
SINATRA	"On the Town" performer
POL	D.C. insider
PHONEDHOME	Emulated E.T.
DIORITE	Igneous rock
ESSE	Latin I word
CENTIPEDE	Leggy one
PARLORS	Places with rocking chairs
PISTHIOS	They're nuts
STKS	Backwater, with "the"
TTT	Game-winning cry
KYRA	Actress Sedgwick
INANE	Foolish
LEONE	Sierra ___
STY	Soul's Lattisaw who sang "Let Me Be Your Angel"
SWEAR	Affirm
SMOKERS	Fastballs
WISESUP	Gets smart
SPEAR	Impale
SOLVES	Works
POTENT	Packing a punch
VETR	U.S. president, at times
VSIGNS	Optimistic gestures
MISTLETS	Some Christmas decorations
EPSOM	___ salts
THOLD	Initial bit of progress
SENDS	Channels
GOODTIMES	Booms
GUAVA	Pastry paste base
MUMS	Bouquet parts
EDIE	Emmy winner Falco
APOSTROPHE	Cat-o'-nine-tails feature
PIS	TV's Magnum and others
ULT	Final: Abbr.
STUDIED	Under a microscope
ERSE	Skye writing
DEERE	Groundbreaking manufacturer?
IKE	Tina's ex
ARSON	Fire work
AVES	Ancient greetings
SURFERS	Beach sights
EMIGRE	New citizen, perhaps
SESE	Zaire's Mobutu ___ Seko
EMU	This may never get off the ground
SOLD	Cry of a person with a hammer
VENUS	Botticelli's "The Birth of ___"
SALSAS	Dances energetically
SENSED	Just knew
DELTAS	Some sorority women
RUMP	This is the end
PREPAY	Modern gas pump notice
MDS	Hosp. figures
ASTRAL	Kind of plane
LATTE	Trellis
SERE	Desertlike
SPURS	San Antonio team
SCOPE	Range
FLAIL	Threshing tool
IRKS	Vexes
LIES	"Hogwash!"
ELM	Oriole's home
MODE	Fashion
ECTO	Prefix with -derm
TIPT	Not go boldly
ONLY	Just
TAPESTRIES	The Met's "Hunt of the Unicorn" and others
TOR	Height
APE	Chest thumper
PEA	___ green
ETE	"Les Nuits d'___"
SSS	Sound at a fish fry
TOTHEPOINT	Pithy
TAE	___ Bo (exercise system)
HMS	Letters at sea
ESE	London-to-Dover dir.
TEE	Swing site
OPERATKETS	Passes to Verdi
ADAMSAPPLE	It may rise and fall during a speech
REASSESSES	Gets a whole new view of
SEESEYETYE	Agrees (with)
