TOWEL	Locker room handout
TETE	Head of France?
OMAN	Muscat's land
WILDWEST	Kind of show
ELK	Lodge member
LYINGTO	Deceiving
MATER	Alma ___
MAGPIE	Noisy bird
ASHEN	White-faced
TIE	Haberdashery item
EDA	Author LeShan
REDHOTS	Cinnamon treats
ADS	Madison Avenue products
AVENGE	Exact retribution for
DEVOUR	Gobble up
STARE	Glassy look
EMILY	Post of etiquette
ASIDE	Line to the audience
VET	Dog doc
TALKINGHEAD	News host, e.g.
NOGO	NASA scrub
EVA	Gabor or Perón
END	It may be bitter
NOPE	"Uh-uh"
HONOR	Token of respect
ONT	N.Y. neighbor
WAGGINGTONGUE	Gossip's attribute
ANTS	Small colonists
GLAD	Garden bloom, informally
TAME	Hardly racy
OPENTOE	Sandal feature
OPE	Reveal, poetically
PEA	Stew item
LATTER	Former partner?
PESTO	Sauce with basil
JAMS	Toast toppings
JOE	___ Six-Pack
EATS	Grub
DIODE	Part of LED
DALI	Painter of limp watches
IRAN	Farsi-speaking land
CHOW	Grub
CHER	"Believe" singer
HEATWAVE	Dog days phenomenon
ORD	Former California fort
WES	Director Craven
PARE	Whittle down
POTSHOT	Aimless bit of gunfire
WHERE	Reporter's question
WRANGLE	Quarrel noisily
PAYOLA	Deejay's bribe
PHASES	Moon stages
AERATE	Make bubbly
YAP	Big mouth
SPREADS	32-Across, e.g.
SHEILA	Aussie lassie
PEON	Lowly laborer
CHEATINGHEART	Sign of unfaithfulness
CHAPS	Rodeo wear
GAPER	Slack-jawed one
HARPS	Angelic strings
AEON	Long, long time
WOE	Misfortune
ONEG	Force on earth, briefly
EDDY	MacDonald's partner in old movies
ASA	Simile's center
HELPINGHAND	Bit of aid
ERE	Bard's before
LIT	Inebriated
HAL	"2001" computer
PET	Hamster, e.g.
ORIEL	Bay window
LAVED	Bathed
SSE	Wind dir.
TETRA	Aquarium favorite
ELEGY	Poem of lament
