SOB	Blubber
SESSION	Recording period
ONEILL	"Anna Christie" playwright
BARN	Web site for Charlotte
REWIRES	Updates electrically
RAG	Paper that dishes dirt
ENOUGH	"Knock it off!"
WIDTHS	Lumber dimensions
IMSET	"No more, thanks"
RAH	Shout at a bowl
ETO	W.W. II command area
SONANT	Voiced, in phonetics
MISSAL	Liturgical reference
MESON	Quark/antiquark particle
IST	Suffix with cruciverbal
SPRAYER	Exterminator, often
SAUL	Handel oratorio king
ANTE	Starting stake
LAHR	Bert who was a Leo, aptly
ROWENA	Ivanhoe's lady
REP	Name on the street
ORAN	Algerian port
WARAGAINSTERROR	Debugger's mission?
ANIMATO	Spiritedly, in scores
ESPANA	Santiago is its patron saint
ERASER	Slip hider
GODSHONESTRUTH	Dr. Westheimer telling it like it is?
EGOS	Stars can have big ones
PARSING	Grammar class exercise
GRATIS	Free
UTE	Chief Ouray's tribe
AGO	Fourth word in the "Star Wars" opening crawl
ALER	Angel, e.g., for short
NAIL	Something an office worker might file
RIGHTURNONLY	All you need to brew a lot of coffee?
ITAL	Romance lang.
UVEA	Eye layer
RAPID	Galloping
LARGE	Living ___
GOLIATHS	Huge opponents
IPOD	Touch, e.g.
VATS	Aging vessels?
AESOP	Whence the phrase "sour grapes"
SOFTISSUEINJURY	Damage to a paperback edition?
OWLET	Nocturnal fledgling
PSYCH	College course, briefly
BRAN	Healthful husks
BLIP	Radar image
RENO	City near old silver mines
PTA	Educ. group
PEP	Kind of talk
PROOFREAD	Scan for slips
ARROWS	Male symbol components
ANITA	"West Side Story" girl
LEI	What you might bow your head to get
TOILETRAINING	Result of a plumbing disaster in the apartment above?
TREE	___ of Souls, Na'vi temple in "Avatar"
ERIK	Composer Satie
TONOF	Like a ___ bricks
NORSE	Language from which "sky" and "egg" are derived
IBET	Skeptical rejoinder
FLY	Pitcher plant victim
INNARDS	Viscera
ASHE	Arthur with a racket
ROO	Playmate of Piglet
DOBIE	___ Gillis of 1960s TV
TEC	Spade, e.g., for short
POSSE	Rapper's retinue
MINOS	Father of Ariadne
MONTH	Shevat or Sivan
SLAMS	Poetry contests
RET	Abbr. after many a capt.'s name
PITH	Essence
PEST	Exterminator's target
THEBOOKOFLOSTALES	Tome that makes a pub owner feel nostalgic?
BRONX	___ Zoo
OORT	___ cloud (solar system outlier)
OMIT	Cross out
LANK	Opposite of stout
ALEE	"Hard ___!"
AFACT	"Is that ___?"
LAYLA	Eric Clapton love song
RON	Pol Paul
FRAME	Cel
ASSET	Great trait
ERST	Once, formerly
TYPE	Variety
FAR	Eighth or ninth word in the "Star Wars" opening crawl
TORTS	Law school course
TOOTH	Its crown is in your head
SEWER	Waste line
EMI	1977 Sex Pistols song ... or their first record label
CENTURY	Longtime Buick model
CANAPE	Cocktail party serving
ECON	College course, briefly
AYR	Scottish seaport
ONTHEFASTRACK	Where to find a best-selling CD?
FATE	Karma
RARA	___ avis
ESP	"Ghost Whisperer" skill
CLOROX	Bleach brand
ROTATES	Pivots
WAD	Cabbage batch?
ANO	Julio to julio
RITE	Sacrament, e.g.
ROOFRAT	Attic scurrier
TAROT	Tea leaves alternative
ABET	Help, wrongly
APES	Galoots
BANTUS	Ethnic group including Zulus
SCRANTON	"The Office" city
STRODE	Walked boldly
CRANES	Port sights
THROWN	Nonplussed
THEPARENTRAP	Something kids might very well tune out?
ELUDE	Duck
NSYNC	"This I Promise You" band, 2000
HOJO	Orange-roofed establishment, in brief
OLIN	Ken of "thirtysomething"
ALIA	Inter ___
ADIN	Good situation for a server
LONE	Unattended
INNS	Imarets, e.g.
LEN	Author Deighton
SRA	Married mujer: Abbr.
EARFULS	Scoldings
ANDA	"___ partridge in ..."
SSE	V.I.-to-Trinidad dir.
DONTRUSTANYONE	Advice to Tin Man costume designers?
REI	King, in Portuguese
APU	Toon for which Hank Azaria won a 1998 Emmy
NEC	Japanese I.T. giant
EDS	Mag. team
NORRIS	"Good Guys Wear Black" star, 1979
INNEED	Strapped
UPENDED	Topsy-turvy
DWAYNE	Hickman who played 58-Across
NESSIE	Subject of a Scottish mystery, informally
SUCCESS	Good outcome
ANT	Carpenter ___
