STAGE	Way out West?
SPRY	Lively, especially for one's age
TREE	Corner
AILS	Afflicts
GNU	African grazer
ETC	Series ender: Abbr.
CPA	Expert, maybe, on the I.R.S. code
CHASTE	Pure as the driven snow
PONS	Bridge: Lat.
APT	Pertinent
SCARF	Head cover
SHERRI	Children's writer ___ L. Smith
CARING	Compassionate
AGOG	Wide-eyed
RUSH	Late-afternoon traffic, e.g.
FEET	Podiatry matters
PRINTSHOP	Early venture for the 21-Acrosses
STAIRS	Elevator alternative
HAGUE	Court site, with "The"
RELUCTANT	Not eager
EROSE	Like a saw's edge
YES	"Indubitably"
ASS	Bonehead
WRIGHT	Name associated with 25- and 59-Across
WALT	Disney, for one
EDIT	Review a review, say
EWER	Water carrier
DELE	Remove, to a typesetter
EARN	Deserve
EFFS	Failing marks
POWEREDFLIGHT	Famous Dec. 17 venture for the 21-Acrosses
PREEN	Fix just right
OUTDO	Best
DERMA	Body layer
HELEN	Euripides play
TESLA	Induction motor inventor
GRUELS	Thin porridges
GMT	Clock standard: Abbr.
EFT	Newt-born?
EEL	Sushi option
LAY	Assign, as responsibility
METRE	Length unit in Lyon
MRS	One with a ring: Abbr.
MACS	PC alternatives
BALSA	Craft wood
BALI	"Road" film destination
ARID	Gobi-like
TED	Rocker Nugent
TAM	Flat hat
THAI	King Bhumibol Adulyadej, e.g.
RARELY	Once in a blue moon
ROBERT	Joffrey of the Joffrey Ballet
NORTHCAROLINA	See 59-Across
REINED	Checked, with "in"
TRIERS	Judges, e.g.
RIVETS	Small fasteners
ERAS	Historical divisions
IBID	Bibliographic abbr.
MCMIII	Year of the 21-Acrosses' first 25-Across
MATE	"G'day, ___!"
CLOG	Thick-soled shoe
MONA	"___ Lisa"
AVE	"___ Maria"
AVIS	#2, famously
PHI	Key letter
PEAS	Stew veggies
HEWS	Cuts down
INKY	Black
ALONE	"Home ___"
EVERGREEN	Christmas decoration site
EKE	Squeeze (out)
GYM	Court site
RHO	Fraternity letter
TONER	Skin cosmetic
KITTYHAWK	With 41-Across, location of the first successful 25-Across
EGADS	"Oh my heavens!"
ESS	Tee's predecessor
MOSSY	Like some tree trunks
