LOGE	Alternative to orchestra
LYCEE	Ecole
ORANG	Clint's "co-star" Clyde, for one
GOLDODEON	Cable channel transmuted
ELASTIC	Adaptable
MUSTS	Indispensables
MANDATED	Decreed
UBOAT	W.W. II menace
SOLVE	Crack
TITI	Small, reddish monkey
SLEDFUL	Santa's load
SEWS	Puts in stitches
SABOTAGES	Throws a monkey wrench into
ELAL	Airline name drawn from Hosea
WELDS	Joins
SCIFI	Some Asimov books
ELLA	1965 jazz album
EFFENDI	Eastern pooh-bah
LOLL	Lounge
LIED	Produced fiction
ALA	___ maison (indoors): Fr.
TYROL	Where Innsbruck is
TORN	No longer mint
ABOIL	Bubbling
ALEC	One of the Baldwin brothers
FOIL	Thwart
OCALA	City NNE of Tampa
NOLTE	Jefferson's portrayer in a 1995 film
BALI	Java neighbor
FLEA	Kind of collar
RENDS	Mangles
DAVIDGOLDFIELD	Dickens novel transmuted
GIRDS	Prepares for action
INUSE	Not free
NEGOTIATE	Bargain
INTO	Passionate about
FIT	Hale
SINN	___ Fein
DINT	Effort
DURAN	Boxing titlist with 57 KO's
DOMINO	Masquerade mask
NOSE	Rose bouquet
UDALL	60's Secretary of the Interior
ADIN	Deuce follower
LESE	___-majeste
LSTS	Amphibious vehicles, for short
DIRECTER	More to the point
DIKE	Dutch tourist attraction
IDOL	What's all the screaming about?
RELIC	Holdover
REATA	Rope used to hang banditos
OLDGOLDSIDES	U.S. ship transmuted
LAREDO	Town in many an oater
DMITRI	One of the Karamazov brothers
IDEO	Prefix with -gram
ODEUM	Music hall
UTAH	Jazz players are found here
SESAME	Opening word?
IST	Believer, informally
KOLN	City on the Rhein
ATIP	Eagerly expectant
PITON	Scaler's spike
SERI	Bandar ___ Begawan (Brunei's capital)
ONES	Addition column
OHO	"Well, well, well!"
ELI	"L.A. Law" lawyer
BHUTANI	Native of the Land of the Thunder Dragon
BTU	Furnace measure, for short
HONCHO	El jefe
UNSEAL	Open
ETCH	Write painstakingly
COL	Maj.'s superior
CATONAHOTGOLDROOF	1955 play transmuted
ABS	Sit-ups strengthen them
GLADYS	Cooper of "My Fair Lady"
OENO	Wine: Prefix
LOORA	Irish lullaby syllables
FARGO	1996 Coen brothers film
BUNS	Schoolmarm's hairdos
OLEOOIL	Spread ingredient
AGA	Ottoman authority
GORP	Trail mix
AGEE	"The Night of the Hunter" screenwriter
NAGS	Bettors bet on them
NEHI	Soft drink brand
ARID	Lifeless
GAYE	Singer Marvin
CEST	"___ la guerre"
SIDE	Incidental
TRADEOFFS	Considerations pro and con
NANO	Billionth: Prefix
GROG	Drink on the drink
GOLDBELLY	Blues singer transmuted
ERA	Fab competitor
OHAIRS	Atheist Madalyn et al.
OGLED	Eyeballed
SWELL	Jim-dandy
DORIS	Rock's opposite, often
INDWELLS	Exists as an activating force
STYE	Case for an ophthalmologist
OGRE	Fiend
HIYOGOLDAWAY	50's TV catch phrase transmuted
OAKLAWN	Chicago suburb
ANODYNE	Pain reliever
ANTELOPE	Deer playmate, in song
EARHART	"Lady Lindy"
IDEAL	Consummate
EDENS	Idyllic spots
DYAD	Twosome
KEYS	C minor and others
YALTA	Resort east of Sevastopol
SNOOP	Prier
ELO	"Xanadu" rock group
POWERBOAT	Water-skier's need
PANDA	Non-bear bear
OCTAD	Rowing team
OILER	Dorothy, for the Tin Man
ANISE	Cordial flavoring
TENS	Addition column
GOLDANDOLDLACE	Cary Grant movie transmuted
GONE	Vanished
OVEN	Where Hansel was headed
DAFT	A penny short of a dime
LEOG	Actor ___ Carroll
HEINE	German poet Heinrich
NOVA	Astronomer's sighting
NAP	Drop off for a bit
LOAF	Lounge
YENTL	Story subtitled "The Yeshiva Boy"
ALLIN	Tuckered out
ANEW	Another time
TOFF	Stylish gent, in Britain
NODAL	Knobby
RLESS	Like non-oyster months?
PENN	Ivy League team
APTS	Want ad listings: Abbr.
EGADS	"Holy cow!"
TYRE	Storied Phoenician port
