TAN	Get some sun
TADA	Bit of verbal trumpeting
ASIF	"A likely story"
NASA	Shuttle org.
ERUPT	Blow one's stack
ERR	Pull a boner
RAMSES	Any of several Egyptian kings
UTAH	Six-sided state
PINA	___ colada
TODD	Rocker Rundgren
BABAR	Kid-lit pachyderm
BAA	Ovine sound
ARMANI	Giorgio of fashion
BUMP	Fist ___ (modern greeting)
ABES	Lincoln and others
RARE	Like proverbial hen's teeth
ASA	Naked ___ jaybird
RATIO	Sine, cosine or tangent
ARUBA	Tourist mecca off the coast of Venezuela
DISARMANDHAMMER	"Beat swords into plowshares"
ARAMIS	A Musketeer
HERESY	Rejection of church dogma
AFAR	Way off
SHADE	Parasol's offering
APSE	Cathedral area
ATE	Grazed, say
TIC	Behavioral quirk
RON	Silver of the silver screen
ORE	Rich rock
DISMISSAMERICA	"Ignore the red, white and blue"
DATE	Palm fruit
INKED	Put one's John Hancock on
STOLI	Vodka brand, informally
SMEAR	Makeup mishap
AORTA	Main artery
MORON	Mental midget
CAPRI	Blue Grotto's isle
AVAIL	To no ___
ANTIC	Marx Brothers-like
MOOSE	Meat favored by Sarah Palin
AVE	With 44-Across, a traditional Catholic prayer
ETAL	List-ending abbr.
TKOS	Ring decisions, for short
BERRY	Chuck who sang "Maybellene"
BEATON	Bang, as a drum
SPAT	Petty quarrel
SARTRE	"No Exit" dramatist
EEL	Moray, for one
NEATO	"Peachy keen!"
NBC	"30 Rock" network
MARIA	See 37-Across
MGR	Dugout V.I.P.: Abbr.
DISBARANDGRILL	"Oust from practice, then interrogate"
SAMBAS	Rio dances
DARTED	Moved like a hummingbird
ACT	Take steps
ART	The "A" in MoMA
IMAM	Shi'ite leader
IDOL	Miley Cyrus, to teens
MICE	Owls' prey
ASEA	Where pirates go
OATER	Typical John Wayne film
ADIN	Score after deuce
TONE	Mute, with "down"
ENNE	Feminine suffix
RILE	Stir up
IRAS	Portfolio holdings, briefly
LUMP	Sugar unit
ENYA	One-named New Age singer
DISBANDONTHERUN	"Scatter while fleeing"
ANT	Tiny colonist
HRS	Four-baggers: Abbr.
OCEAN	Neptune's realm
INNER	Word before city or tube
AMY	Etiquette guru Vanderbilt
LEAST	Smallest possible
NEEDS	Has to have
SPA	Masseur's place
