ASPS	Deadly biters
ACHOO	Response to a sudden chill
SOUND	In good shape
PALED	Went white
STAHL	Lesley of "60 Minutes"
YAPS	Talks a blue streak
YOURTURN	"Go ahead, play"
ABCS	Kiddie education
PILES	Laundry loads
STATETREES	California redwood and others
BASTE	Tend to, as a turkey
BEANBALL	Dangerous pitch
ACRE	Plot part
SLUSHFUND	Auditor's unwelcome discovery
TAB	Bill
ETA	I ___ Pi (playful fraternity name)
COAT	London Fog product
OBIT	Passing remarks?
ECLAT	Razzle-dazzle
HULA	Waikiki wiggles
UCLA	Sch. where John Wooden coached
ARUBA	Caribbean getaway
ONEHORSETONES	Unique shades at the stable?
OOF	Sock-in-the-gut response
ORE	Lode load
ODDLOT	99 shares of stock, say
SERB	Balkan native
HMO	Managed care grp.
MUSES	59-Across and others
OLES	Bullring bravos
FUR	It's a wrap
ROTTENLUCK	Curse of the jinxed
TEARFUL	Noticeably sad
ROOM	Wiggle ___
LUI	George Sand's "Elle et ___"
LEROY	A bad, bad Brown, in song
UNIONJACK	British standard
IDOL	Fan fave
ROAR	Laugh loudly
AHH	"Say ___"
LOUSE	No-goodnik
SENDINTHECLONES	"Bring us doubles!"?
SOTS	Barflies
INASWOON	Dizzy with rapture
CASHCOWS	Money machines, so to speak
ORION	Belted hunter
THEA	"___-Team"
MDS	"ER" roles
TOOLATE	"You missed the boat!"
TIE	No-win situation?
SSN	Nine-digit ID
NOR	Scand. land
SYN	Thesaurus wd.
SING	Squeal
GENRE	Literature class
HOHOHO	Greeting from Santa
HOWSO	"Care to elaborate?"
ONION	Popular parody newspaper, with "The"
HELLO	"Anybody there?"
OSTER	Blender brand
JEWELEDCRONES	Regally decorated witches?
ETRE	"To be" to Henri
DDAY	Memorable June event
ERATO	Lyrist of myth
EMT	CPR specialist
RIO	John Wayne's "___ Lobo"
UNDO	Release the buttons of
WILT	Not take the heat well
MICRO	Short-short skirt
CRAW	Bird crop
SOLE	Loafer's bottom
TOKEN	Turnstile feeder
KEYS	Custodian's collection
ONOR	___ about (roughly)
