CLIMB	Attain new heights
CCLEF	Symbol seen on viola music
LAURA	1944 film noir by Preminger
INTESTINES	Digestive system parts with recycling?
MOE	Baseball's Berg
BESTBETS	Most promising options with recycling?
ISLA	Chile's ___ de Pascua
ISAAC	Son of Sarah
STUCKONESNECKOUT	Took a risk with recycling?
LAST	Caboose's place
ART	Upscale office décor
RAGS	Castaway's clothing
REAPPEAR	Come back with recycling?
ADLAI	Two-time loser to Ike
GUILD	Craft union of old
SPAS	Rest spots
CANOE	Rapids transit?
STARTEDUP	Established
TROUT	Freshwater catch
LUTES	Troubadours carried them
AUSTRALIA	Country that has won the most Cricket World Cups
ERE	Poetic preposition
TRACT	Parcel of land
RUM	Ingredient in a Bahama Mama
OPALS	Export of 18-Across
FASTBUCK	Day trader's wish
TEX	La. neighbor
CUPID	He brings people together
CANES	Victorian gents' accessories
TEEM	Abound
ORATE	Stand and deliver
RODIN	"The Age of Bronze" artist
TWIXT	Between
THAN	Comparative follower
WAXY	Like Stilton cheese
INON	Zero ___
ICEUP	Put on a winter coat?
AHAB	King in I Kings
HORSESHOER	Livery blacksmith with recycling?
ASEA	Like pirates
BEVY	Large group
HAN	Dynasty in which Confucianism became dominant
SECEDE	Break away
ERNIE	Naively optimistic Muppet
ROSE	Attained new heights
AXEL	Jump that may be doubled
LEGALAGE	Imposition on drinking with recycling?
RESIST	"I couldn't ___!"
TEAMMATE	Sporting colleague with recycling?
REV	Accelerate
NYSE	Org. with a National Historic Landmark building in lower Manhattan
NUNN	Ex-senator Sam
ESSAY	Op-ed piece
SKI	Kind of run
GRIPE	Bellyache
RHYME	Have common ends, in a way
WAKE	Danger for small craft
WEE	Lilliputian
BRAHE	Contemporary of Kepler
BASIL	So-called "king of herbs"
RUINS	Mayan pyramids, e.g.
CHEMISTS	Formula formulators
HERTZ	Enterprise rival
TIDAL	Like some currents
SEEDY	Poorly kept
PAULY	Actor Shore
PAGE	Ask for by name
AKEEM	Prince ___, Eddie Murphy's role in "Coming to America"
ANNA	Ballerina Pavlova
HIE	Step on it
ASIAMINOR	Location of two of the classical Seven Wonders
IRK	Discommode
ABODE	Domicile
BRA	Sports ___
GINGERNUT	Spicy biscuit served at English teas
TREAD	Sole pattern
ELSE	Cannonball Adderley's "Somethin' ___"
KATZ	Dr. ___, 1990s TV therapist
EARLY	Before sunrise
