SPARTA	Persian War participant
SEAM	Place vulnerable to ripping
PLEAS	They're entered in court
ADORE	Like loads
RELAX	Become less gripping?
TRUCKSTOPS	Gas station plazas
ASSAILANT	Attacker
BREAST	It may take a beating
BASIN	It holds water
RUTS	Causes of some spinning wheels
ELI	Philip Roth's "___, the Fanatic"
AIRMAILED	Sent flying?
SNORKELS	Does some shoal searching?
TENIERS	"The Alchemist" painter
ELDERS	Pillars of the community
PAULINE	Film critic Kael
PAVES	Makes concrete?
AEOLUS	Wind god
CASTIRON	Like some stomachs
CATTY	Malicious
MARACA	Rattle of a sort
AVIS	National competitor
MRI	Claustrophobic patient's dread
SEXKITTEN	Siren
TANG	Punch
BAKE	Make snaps, say
BRIDE	One given away
SLATS	Sled parts
WRIER	Comparatively cockeyed
WHITEWINES	Sancerre and Sylvaner
LITANY	Mass communication?
LACERATES	Tears
IRENE	Memorable 1999 hurricane
CHILLS	Flu symptom
CLUBHOUSE	19th hole
SARONG	It's a wrap
SCHEDULE	It's full of 29-Downs
SLIDES	Playground equipment
SLOT	See 28-Down
ACCEPT	Swallow
ATWATER	Prominent 1988 Bush campaign adviser
FLUTED	Like some pie crusts
FLAKY	Like some pie crusts
THENS	If-___ (computer routines)
GLOBE	Popular supermarket tabloid
GEARS	Subjects of ratios
WERE	"___ sorry..."
DEATHWISH	Desire in the offing?
DEANA	Country singer Carter
INLET	Small fjord
SKATE	It may have a blade
HECHE	"Psycho" co-star, 1998
ADA	Mathematician Lovelace
BEAK	Preener, perhaps
BLED	Ran
OINKED	Made a pig of oneself?
DEEM	Believe
TUTELARY	Guardian
EVE	Early evictee
UNLACE	Loosen, as a 37-Down
ELEVENS	Big rolls
SEETHE	Boil
RESEDA	Grayish green
ESTEEM	Treasure
