SALAD	Bar fare
SIP	Sample, as wine
ARA	Coach Parseghian
LAS	Vegas opening
ANTI	Opposed
DIANE	"Cheers" character
COLE	"Merry old" king of rhyme
CONCERTO	Orchestral offering
ORAL	Spoken
LEGATO	Smoothly, to Solti
ELSIE	Old comic actress ___ Janis
PAP	Drivel
PUNDIT	Learned one
ARCANE	Secret
PLAYER	Cast member
IRANI	Shiraz native
OREL	Moundsman Hershiser
HURL	Make a pitch
HIE	Get a move on
PASTA	Trattoria staple
NAGS	Noodges
INCA	Atahualpa was one
INACLAIREDAY	When an actress can see forever?
AVAILS	Profits
REOPEN	Go back into business
CBS	"Gunsmoke" appeared on it
COCA	Caesar's sidekick
BRAN	Source of fiber
SEMI	Highway hauler
EVE	Original sinner
TEE	Kickoff aid
INE	Suffix with labyrinth
OREO	Black-and-white snack
OPTIC	Kind of nerve
ARGO	Golden Fleece craft
GEODE	Crystal-lined rock
OATER	Horse opera
AKITA	Dog from Japan
CAMPSITE	Jamboree locale
SAVIOR	Delivery person?
TPK	Hwy.
TWINGE	Emotional pang
ANITALOOSWEIGHT	Obese author's admission?
SARASOTA	Circus Hall of Fame site
GIST	Main point
HEIR	One who succeeds
TRAY	Busboy's pickup
IVS	E.R. devices
DAINTIER	More exquisite
BOCCI	Lawn game
BRAKES	Part of a road test
OILERS	Edmonton icemen
COHERE	Stick together
FERN	Terrarium plant
FUMBLE	Gridiron mishap
ASIA	China setting
RIO	A "Road" destination
OSU	Columbus initials
STAGS	Bucks
AGE	Candle count
ELFIN	Puckish
TRY	Strive
ALHIRTMYSELF	Masochistic trumpeter's prediction?
INS	Election winners
YOUR	Part of B.Y.O.B.
FARE	Make out
KEEN	Fine-edged
ABOO	Peek-___
FAZED	Disconcerted
ZAP	Skip, as commercials
ETA	Hellenic vowel
DEL	Singer Shannon
ERRS	Messes up
GLUT	Oversupply
IRATE	Hopping mad
SSE	Compass pt.
SERA	Antitoxins
NEPAL	Himalayan kingdom
