RIVET	Fix firmly
RPM	Tach letters
IRA	Far-sighted investment, for short
VIRGINIA	Old Dominion
EMCEE	Mike holder
TOOTLE	Play the piccolo
GAGS	April fools
GURU	Wise guy
ALIT	Set down
GATORS	Crocs' kin
SNAFU	Major miscue
SKIP	With 69-Across, split
SAGO	Pudding starch
KINDER	More benevolent
IMAGER	Photocopier, e.g.
PETERS	Dies (out)
PRIMO	Top-notch
ULAN	___ Bator, Mongolia
AIME	"Je t'___" (French words of endearment)
MARCO	Adventurer ___ Polo
RITA	Beatles meter maid
GNAT	Itsy-bitsy biter
GETOUTOFDODGE	Split
ODDJOB	Work for a jack-of-all-trades
DEPTH	Third dimension
SHIELD	Cop's badge
SHAH	Persian potentate
HOLE	Pocket problem
RUE	Regret bitterly
EER	Always, in verse
HON	Sweetie
EDENS	Perfect plots
EAR	Musical gift
NITTY	___-gritty
PURRS	Engine hums
UPIN	Words before "arms" or "the air"
ALII	Et ___ (and others)
IDLE	Indolent
JAI	___ alai
STP	Fuel additive
SEARCH	Frisk
HEADFORTHEHILLS	Split
FIRTH	Scottish inlet
HER	The Zombies' "Tell ___ No"
LEAPYEAR	2000, for one
LAKE	Water-skiing locale
STAR	Headliner
LIB	A little freedom?
TEA	Darjeeling or oolong
NEAT	Not having a thing out of place
ASNER	Lou Grant portrayer
AGHAST	Thunderstruck
STINKO	Three sheets to the wind
NOTNEW	Secondhand
MYRRH	Gift of the Magi
MYHERO	"You're a lifesaver!"
HOWSAD	"What a pity!"
AKA	Alias preceder
GTO	Sporty Pontiac
TRY	Give it a go
REHAB	Recovery center
COPPER	Penny metal
PAULA	Newswoman Zahn
HITTHEHIGHWAY	Split
TEEN	New driver, usually
IRIS	Tennessee's state flower
GADS	Wanders aimlessly
ANNE	Writer Rice
HERA	Zeus' spouse
SUEDE	Soft leather
DRE	Rap's Dr. ___
EMS	Dash widths
SKEE	___-Ball (arcade game)
ARID	Like Death Valley
ALARM	Eye opener
TOWN	See 10-Across
BOSS	Head honcho
DARES	Takes a chance
