SALSA	Hot sauce
SADE	She won a 2002 Grammy for "Lovers Rock"
AVON	Shakespearean stream
LAUD	Extol
SIB	Bro or sis
ALLTOLD	With everything
IRIS	Van Gogh flower
ISSUER	Bank, to a credit card
RIOT	Laughfest
ILL	Poorly
SKIPOLES	Sticks on a slope?
SWAP	This for that
SLATE	Political ticket
WAIT	Word repeated before "Don't tell me!"
ACRE	1/640 of a square mile
PEER	Nobleman
AVAIL	To no ___ (fruitlessly)
SILK	Scarf material
LACE	Scarf material
DOUBLESOLITAIRE	Cardplayer's oxymoron
EASE	Slacken
TURF	Territory
END	Place to stop
TAUT	Stretched
PUTTER	Miniature golf club
LOSE	Misplace
LLAMA	Relative of a camel
FORE	Golfer's cry
FADE	Lose brilliance
SMALLERHALF	Pie cutter's oxymoron
SNAKE	Viper, for one
MOTOR	Machine powerer
AMONG	Shirley Jackson's "Life ___ the Savages"
HOPED	Wished (for)
PTA	School org.
POUND	Feared destination in "Lady and the Tramp"
TERSE	Not wordy
ASTER	Daisylike flower
NOMAD	Wanderer
ODE	Poem on an urn
WOES	Miseries
WHIRR	Helicopter sound
ATOM	Unit of a molecule
GAPES	Stares
GRANDSON	Henry Ford II, to Henry Ford
AONE	Top-notch
HURT	Sprained, as an ankle
KONA	Hawaii's ___ Coast
ROE	Fish eggs
RINSE	Shampoo step
ROAMING	Like some charges on a cell phone
ERG	Work unit
RANDOMORDER	Shuffler's oxymoron
RONA	Gossipy Barrett
OTOOLE	"Lawrence of Arabia" star
MSRP	Abbr. after an asterisk in a car ad
BONE	Dog's favorite part of a steak
BUILD	Erect
TSAR	Customer of Fabergé eggs
ROTUND	Portly
RUIN	Tear down
ONCE	"___ upon a time"
TBAR	Way up a slope
NORM	Standard
NDAK	Fargo's state: Abbr.
RCA	"His Master's Voice" co.
RITE	Baptism, for one
CORN	Common syrup source
ANON	Auth. unknown
UNBIASEDOPINION	Polltaker's oxymoron
EPI	Prefix with gram or center
NIL	Zilch
ICAL	Suffix with poet
OPAL	Iridescent gem
NITRO	Big bang maker
NERD	Socially challenged person
NIKE	Greek goddess of victory
GLENN	First American in orbit
