DIALER	Telephone user
DAM	Fort Peck, for one
ISADORA	First name in dance
ALDORAY	"The Naked and the Dead" star
LOCHANDKEY	Island in a Scottish bay?
EPA	Grp. with standards
REP	Business solicitor
SAT	Obeyed "Down in front!"
SHAHDOM	33-Across, once
AONE	Top-notch
TRIXIE	Fictional teen sleuth Belden
ALL	Everybody
ATANANGLE	Diagonally
LITD	English professor's deg.
LOEB	Leopold's partner in crime
MOPUP	Clean the last bit
MALAYS	Southeast Asian natives
OLIN	Actress Lena
PIECEANDQUIET	Gun with a silencer?
UNNERVE	Rattle
PASSAGE	Bible reading
ASLOPE	Not straight up
HORATIO	A "man that is not passion's slave," in Shakespeare
AMANA	Name on a fridge
SALINA	Home of Kansas Wesleyan University
SALON	Clip joint?
MADCAP	Antic
ANIMATE	Energize
ALIENS	Roswell visitors?
DOH	Cry from Homer Simpson
CHEXANDBALANCES	System of measuring cereal by weight?
CARAT	200-milligram unit
ATOP	Straddling
BORA	When repeated, an island NW of Tahiti
BID	Auction action
SAD	Down
SPENT	Exhausted
INA	___ while
TOY	Cracker Jack surprise
ERA	Big name in real estate
IRAN	Where diners use dinars
PROSEANDCONS	Prison library's contents?
STERNAL	Of the breastbone
DOE	John ___
COMPOUND	Fenced-off area
AVG	Baseball fig.
DAYDREAMT	Stared off into space
REN	Cartoon dog
GOOP	Sticky stuff
KNEE	Place for a pad
KIN	Flesh and blood
KENT	Reeve role
EMBLEM	Family's coat of arms, say
MOON	Lycanthrope's catalyst
BLADDER	Waterskin
AMID	In a group of
ALAR	Wing-shaped
MERE	Bébé watcher
LATENT	Not yet actualized
LAIRS	Hideouts
ASCAP	Music org.
THYMEANDSPACE	Mostly-empty spice rack?
PROLE	Ordinary worker
PEEREDIN	Pressed one's nose to the glass
PALENQUE	Mayan ruin site
ANAT	Surg. study
UMBRA	Planetary shadow
EAMON	Irish P.M. ___ de Valera
ASHY	Grayish
GENOA	Columbus's birthplace
GRIT	Doggedness
SONAR	Ship salvager's aid
SQUIRED	Took places
UMA	Actress Thurman
ICY	Forbidding
FAREANDSQUARE	Unhip cabbie with passenger?
FATE	One way to explain a coincidence
AGAR	Algae product
SADE	Pop singer from Nigeria
IBM	OS/2 company
RAM	Play bumper-cars
AGIRL	"There's ___ In My Soup" (Peter Sellers comedy)
DAUNT	Frighten
HERO	"My ___!"
HUGHANDCRY	Emotional scene with actor Grant?
SPECTATE	Sit in the bleachers
CPO	TV's "___ Sharkey"
REDID	Overhauled
RUNAROUND	Evasive answer
BHUTAN	Himalayan kingdom
BAAED	Greeted a shepherd
HIS	Part of H.M.S.
APER	Impressionist
DOURER	More sullen
ORE	Miner's quarry
HAIG	Reagan Cabinet member
HINES	Duncan ___
ZENO	Original Stoic
ZIPCODE	Numbers on letters
ENCORED	Went back on stage
FIRN	Swiss snowfield
FINN	Laplander, maybe
ELIASHOWE	Garment industry innovator
LIPREAD	Watch words?
OVERLIE	Be situated above
WORSENS	Goes downhill
END	Objective
IND	Line in a voting booth: Abbr.
WHINEANDDINE	Complain at restaurants?
WHEELS	Potters' needs
HEADS	Flip comment?
NOBLE	Chevalier
DEBASE	Cheapen
AVON	Hearst book division
PCS	Common desk items
HEN	Kind of tracks
ROE	Lobster eggs
PED	___ Xing (street sign)
NERD	Propeller-head
COPSEANDROBBERS	The Merry Men in Sherwood Forest?
STAN	Hall-of-Famer Coveleski
DRAW	Performer who fills the club
ROME	Tarpeian Rock's location
EDIT	Pare, say
DRS	Hospital V.I.P.'s
ORATED	Took to the stump
ROULADE	Musical embellishment
UNCLES	Family men
USS	Preamble to the Constitution?
NHL	Stanley Cup org.
SET	Primed
DECALS	They're called "transfers" in Britain
AMNESIA	Condition sometimes treated by hypnosis
SHRINE	Pilgrim's goal
EDENS	Perfect places
WED	Ringed?
ETD	LAX monitor info
SLYEST	Most like Iago
