ANTE	Pay to play
ACTSOUT	Pantomimes
NAMEDROP	Attempt to impress, as in conversation
TRENDIER	More into fads
EDNA	Best or Ferber
FLIP	Somersault
FREEOF	Unhampered by
LOWCUT	Revealing, as a dress
IDOLS	Graven images
PEKOETEA	Sri Lankan export
SQUAB	Pigeon dish
SOCK	Punch
QUIRE	Paper quantity
UNROLL	Spread open
ACCOST	Waylay
BEAMED	Broadcast
CARD	Basic bingo item
RODE	Badgered
OUNCE	Perfume quantity
TMEN	Some Feds
EWOK	Furry "Star Wars" creature
CIRCA	About
SENATECLOCKROOM	Where legislators pass the time?
TRANCES	Rapt states
CRAWL	Teem (with)
ODD	Idiosyncratic
ROUSER	Electrifying speech
ELSE	Last word in a threat
URI	William Tell's canton
AFT	Early P.M.
TAC	"Hollywood Squares" square
COJUROR	Fellow panelist
LTD	Inc., abroad
TOEIN	Front wheel alignment for cars
IAN	Knighted actor McKellen
WEWON	Champs' cry
WCS	Loos
NOB	San Francisco's ___ Hill
PRACTICALJOCK	Nontheoretical athlete?
TRALA	Part of a refrain, maybe
IDLENESS	"The mother of corruption": Montaigne
CORPORAL	Two-striper
KATARINA	Olympic skater Witt
NERDS	Out group
UBOAT	W.W. II menace
TENSEST	Stretched to the limit
AMY	Former White House daughter
ABSCAM	1978-80 F.B.I. investigation
MRMOTO	Fictional Interpol agent
YOOHOO	"Anyone home?"
SAL	Gal of song
ISR	Nation since 1948: Abbr.
INMOST	Deepest
STINKS	Unpleasant fusses
RTE	U.S. 1, e.g.
BROS	Boys in the 'hood
SCANS	Reads a bar code
LEANTO	Rough house
ADLAI	Dwight's opponent
PAN	Sweeping shot
SMOCKANDMIRRORS	What an artist needs for a self-portrait?
KNEE	Spoon-playing site
REFS	Makers of calls
COHAN	Cagney portrayal in "Yankee Doodle Dandy"
ELON	North Carolina college
ERIE	New York's most populous upstate county
ATONE	___ time or another
SASK	Province north of Mont.
FANS	Rooters
MOOSE	Member of a loyal order
SITS	Poses
SLAT	Box-spring support
