SNIP	Tiny scissor cut
STEM	Flower stalk
NOVA	Exploding star
ITEM	Couple on a gossip page
PERMIT	Learner's ___
ARENA	Sphere
ALB	Priestly attire
RAIL	Train transportation
ETTA	Singer James
NEAP	Kind of tide
ARNESS	"Gunsmoke" star James
GNAT	Annoyance at a barbecue
GEN	___-Xer
NIGHTRIDER	Certain vigilante
ANERA	End of ___
TELEX	Bygone communication
TOTE	Lug
LATER	"I'm outta here!"
EINE	Aachen article
EVERYBITANANGEL	Nice through and through ... or not
YACHT	America's Cup entry
ALIFT	"Can I give you ___?"
MAMMA	Mother, in Milan
LAPEL	Pin's place
HRE	Charlemagne's dominion: Abbr.
ICY	Like some stares
YEWS	Some evergreens
SINTAX	Levy on cigarettes and booze
NORA	Writer Ephron
HASTHEHOTSFOR	Really digs ... or not
HERA	Juno's counterpart
AVES	Connecticut and Virginia, in Monopoly: Abbr.
SEEKASYLUM	Defect
HOTEL	Monopoly purchase
OTARU	Japanese seaport
TOBIT	Book of the Apocrypha
EVE	Woman who raised Cain
TWOTO	58 minutes past the hour
TRIPE	Hogwash
PALS	Buddies
EMIT	Give off
REED	Portland, Ore., college from which Steve Jobs dropped out
DUBS	Nicknames
STABS	Uses a dagger
SEED	Bit of watermelon waste
ADAM	33-Across's partner
ASKUP	Invite to the penthouse, say
PSATS	11th-grade exams, for short
ERIES	Some Iroquois
SWEDE	Ingemar Johansson or Ingrid Bergman
ELI	2008 Super Bowl M.V.P. Manning
ABSOLUTEWORST	Most wretched ... or not
OREIDA	Tater Tots maker
OBRIEN	Funnyman Conan
VASSAR	One of academia's Seven Sisters
VETCH	Climbing legume
ALERO	Old Oldsmobile
DEB	Many a 16-year-old Southern belle
ELY	Bridge expert Culbertson
TERPS	Maryland athletes, for short
RTES	Itinerary parts: Abbr.
PLUS	Bonus
SICA	"The Bicycle Thief" director Vittorio De ___
DROVE	Shepherded, in a way
OTTO	Bus driver on "The Simpsons"
VIAL	Lab container
ESTA	"Cómo ___?"
TELLSITLIKEITIS	Speaks with brutal honesty ... or not
LEE	Stan who co-created Spider-Man
KEY	Lock opener
CRUE	Rock's Mötley ___
DEUCE	Club that doesn't beat much
ETAT	"L'___ c'est moi": Louis XIV
HOME	Terse order to a chauffeur
ASSAY	Evaluate
NOLA	Title girl in a 1922 hit
