REVAMP	Overhaul
RIM	Periphery
EMO	First name in screwball comedy
VAR	Different sp.
ADAMANT	Inflexible
MELINDA	Dillon of "A Christmas Story"
PIMA	Arizona Indian
SHEBA	Inge dog
SOO	___ Canals
HIRT	"Java" trumpeter
ELIOT	"The Mill on the Floss" writer
BETTOR	Tip sheet buyer
ARYANS	Indo-Europeans
SPINACH	Oysters Rockefeller ingredient
SHOE	Part of a brake
PONCE	Puerto Rican port
INALL	Totally
NATIONAL	Avis alternative
ALEPPO	City known in ancient times as Beroea
CEASES	Discontinues
HERESY	Reason for excommunication
IMADEIT	Cry of success
TAMIL	Sri Lankan language
OILER	Gretzky was one
HONALEE	Dragon's land, in song
MORALMAJORITY	Soprano Gluck kidnapped by a fundamentalist group?
JILL	TV angel Munroe
ONATEAR	Raging
MIAMI	River to the Ohio
TOTALECLIPSE	Actor Baldwin trapped in a heavenly phenomenon?
LIVRE	"Les Misérables," e.g.
ALVAN	Telescope-maker ___ Clark
ABOIL	Simmering
LLANO	Treeless tract
VIKKI	Singer Carr
ILL	Green around the gills
LET	Tennis do-over
TONI	"Mickey" singer Basil
ELOPES	Flees to a J.P.
BLINDALLEY	Supermodel Evangelista stuck in a dead end?
AGLARE	Blazing
YVES	Actor Montand
RSVP	Party giver's abbr.
PERU	Major fish exporter
NOSY	Overcurious
OAKTAG	Poster material
TVS	VCR adjuncts
SANDRADEE	"The Dunwich Horror" star
RENTA	"___-Kid" (1995 comedy)
NIN	"Ladders to Fire" novelist
TSE	Philosopher Lao-___
INK	Sign, slangily
LAB	Where Jekyll became Hyde
ANDS	Added stipulations
BEEPS	Contacts, modern-style
EASTERISLAND	Actress Garr discovered at a statue site?
SORE	Holding a grudge
TWEAK	Fine-tune
ASHE	"Hard Road to Glory" author
NEAT	Uncluttered
DAB	Apply, as ointment
LOISLANE	Reporter under Perry White
SHAW	CNN anchor Bernard
LEK	100 qintars
SNOW	Aspen asset
UNE	A abroad
SEA	Davy Jones's domain
HERDER	Cowboy, at times
READD	Check the figures
DREG	Remnant
GNARL	Distort
AHAB	Queequeg's captain
ANNO	Word on monuments
SHAKESPEAREANSONNET	Actor Williams found in a 17th-century poem?
SHEA	1966 Beatles concert site
HELL	Alternative to high water
ALAI	___ Mountains, part of the Tien Shan range
SPEE	Ill-fated German admiral
OLDISH	Getting on in years
NAN	Actress Grey
WHEW	Near-miss exclamation
WEB	It's catching
SALA	Casa chamber
KAPLAN	"Mr. Clemens and Mark Twain" author Justin
EEL	Spitchcock
RAW	Like new recruits
RNA	Retrovirus component
ACT	Masquerade
WEEP	Display dolor
DADS	A&W alternative
STOW	Lay up
REDNOSED	Like a flu sufferer, often
SALMI	Film actor Albert
EBOAT	Torpedo vessel
DUMPY	Short and stout
BALANCEDDIET	Singer Cochran unearthed in the food pyramid?
ARIETTAS	Brief operatic solos
DRUID	Stonehenge worshiper
LEI	Gift for a haole
ABU	Aladdin's monkey
RATER	Consumer Reports employee
EON	Years on end
NET	Lepidopterist's accessory
SLALOM	Race with gates
LEANDER	Hellespont victim
ARMORER	Gunsmith
LISI	"The Statue" actress Virna
LISPED	Spoke like Sylvester
INCASE	Lest
SNORTS	Mister Ed productions
PURE	Claim on an orange juice carton
ROYALS	Charles and others
ENAMEL	Fabergé egg glaze
WEATHERMAP	Witticist Bombeck caught in a newspaper feature?
AWAC	"Never Wave at ___" (Rosalind Russell flick)
TADAS	Drumroll-accompanying exclamations
INNEED	Strapped
ELITE	Top-drawer
DATER	One playing the field
IONA	Hebrides island
ARENA	Where the action is
TWA	Letters on some 747's
AMITY	Peace
SCOTLANDYARD	Artist Warhol accosted by the British police?
NAST	Democratic donkey designer
DRIP	Plumbing problem
ADANO	Hersey hamlet
ANTE	Cost of cards
PARTITA	Bach work
AMERICANDREAM	Statesman Doria seen in an idealistic vision?
INS	Powers that be
ELO	"Hold On Tight" group
AER	___ Lingus
MRS	Title choice
ESTATES	Pricey homes
LENIN	Bolshevism founder
STEELER	Bradshaw was one
DESSERT	Calorie-crammed course
SLAPS	High-fives
ERRORS	Clinkers
