RAMPUPSALES	Increase business
RAPIERS	Slender stickers
AVATAR	Personification
MENES	Egyptian king credited with founding the First Dynasty
PTER	Feather: Prefix
UHS	Pause fillers
PEERASSESSMENTS	Some workshop critiques
SPLITS	Stock options
ALASS	"... in thy possession lies ___ unparallel'd": Shak.
LANK	Rangy
ENTENDRE	Hear, to Henri
SEEDAGE	Horticultural practice
SAVETHEPLANET	Green line
SANDAL	Item of wear with a strap
TRIBES	Alabama and others
JAPANESELANTERN	Party lighting option
JUICE	Press release?
NTEST	Desert trial, for short
UNITER	Minister at a wedding, e.g.
RISKEDIT	Took a chance
IDEAS	Brains' gains
BATS	Touched
BEAT	Ready to turn in
NABE	Local theater, slangily
CARR	"The Emperor's Snuff-Box" novelist
MESS	Company dinner
MANS	Staffs
EDGES	Sphere's lack
EACH	A head
ELS	World Match Play Championship champ a record seven times
BAAS	Kids' greetings
BEER	It has a head
RAREST	Least done
RIPS	Tatters
CENTERICE	Face-off place
CLEAREST	Like the best explanations
ROTS	Degenerates
STILES	Lineup at some entrances
SMARM	Oiliness
TINEAR	Karaoke problem
INTAKES	Some air lines
SOPH	Many a J.V. player
WAD	Cabbage roll
WALPOLE	Britain's first prime minister
ADMITS	Doesn't turn away
DEANE	Early American diplomat
MINER	Light-headed person?
SSTS	They no longer boom
SERENE	Conducive to meditation
SADE	"Philosophy in the Bedroom" author, 1795
SEENAT	Spotted visiting
ANTA	"Man of La Mancha" production org.
LEMS	Some touchdown makers, briefly
LIMIT	Something not to go over
SELMA	Alabama university
SILVA	Regional woodland
REARTIRE	Roller near a derailleur
TATA	"Abyssinia"
TIEPIN	Shirt attachment
TARN	Mountain lake
MAKEAMENTALNOTE	Store something for later thought
TEE	Elevator in a country club
RESTINTERVALS	Breaks while lifting, say
STATESENATE	One of many American houses
