SWAMI	Hindu master
STAB	Wild guess
WORE	Sported
ALMA	___ mater
METRE	Downing Street distance
ITHEEWED	Nuptials words
FOSSE	"All That Jazz" director Bob
FCC	Media watchdog agcy.
OOH	"___ la la!"
SLATS	Blind parts
SOIR	Evening, to Yves
ERRATA	Printing after a printing
PTS	Scoreboard fig.
PANTHECAKE	Criticize a bakery dessert?
TABOO	Just not done
SHARE	Don't hog
TOLET	Apartment sign
COLOR	Crayola choice
AAH	Sound of relief
ARMTHECHAIR	Supply weapons to a committee head?
ERLE	___ Stanley Gardner of mysteries
NBA	Org. for Bulls and Bucks
BEARER	Check payee, maybe
TRACTOR	Deere product
CASALS	Cellist Pablo
EELERS	Conger catchers
EASYA	Expected grade in a gut course
RKO	Original "King Kong" studio
TAHOE	Western resort lake
HEF	Playboy publisher, to friends
HAWK	Pro-war sort
ELON	North Carolina university
FIRETHEMAN	Send law enforcement packing?
WEAK	Wimpy
CASE	Purchase for a beer blast
CRU	Grand ___ (wine designation)
ALICE	Carroll's tea party visitor
CLEVER	Nimble-minded
SOAR	Take to the sky
ARTIE	Howard Stern sidekick Lange
ACED	Scored 100% on
ETAL	Series ender
DERM	Skin: Suffix
WORLDLY	Sophisticated
LEG	Piece of dark meat
RUNLATE	Be delayed
NOTSOHOT	Just O.K.
KNEE	Banjo site in "Oh! Susanna"
EAST	Magi's origin, with "the"
SAL	Erie Canal mule
OSKAR	Heroic Schindler
TVPG	Many a sitcom rating
PRISMS	Beam splitters
AINT	Isn't misused?
NAST	Tweed twitter Thomas
ELM	Colonnade tree
ACHER	Bengay user
AQABA	Jordanian port
CUTEY	Good-looker
PLEASE	The "magic word"
PSALM	Song of David
ENERO	Start of the año nuevo
QUERIES	Calls to help lines
EPEE	Olympics blade
SONOMA	California wine valley
ORAN	Algerian city
MILK	Half of half-and-half
ABBA	"Mamma Mia" pop group
ATM	20's dispenser
SPARETHERIB	Donate to Eve?
ROI	Louis XVI, e.g.
ENS	Nav. rank
BEA	"Don't ___ fool!"
MELON	Fruit served in balls
ORALB	Toothbrush brand
AYN	Author Rand
SEMIS	Huge haulers
TONKA	Big name in little trucks
