ASPEN	Skiing mecca
ASTA	Dog of detective fiction
SAHL	Comic Mort
PLEA	"Don't hurt me!," for one
ESPRIT	Bon vivant's gift
NAE	Highlands negative
ANKH	Cross of Egypt
APPROVES	Stamps, maybe
NOLA	Town where Augustus died
KOENIG	Chekov player on "Star Trek"
HRS	Many mins.
VANE	Weather indicator
VIOLENCE	Reason for an "R"
ALUM	Wound application
NERO	He ordered Seneca's death
EATS	Grub
SALSA	Taco topper, perhaps
POOR	Needy
ILEA	Intestinal parts
THEPEOPLESCOURT	Where ordinary folks play tennis?
OFGOD	Attila, the Scourge ___
CONAN	First name in late-night TV
ALAR	Controversial spray
FRAN	Tarkenton of Minnesota
OLMOS	Actor Edward James ___
IAGO	Othello's ensign
ALI	Clay, today
IONE	"The Last Days of Pompeii" heroine
ORI	"... ___ quit!"
AINTLOVEGRAND	Enthusiastic response to a tennis shutout?
ASIT	___ were
INCH	Tiny amount of progress
NOBET	Gambler's pass
EASEL	Oil holder
DOVER	White cliffs locale
SNO	___-cone
IDEA	Glimmering
INCOME	Household ___
MERV	TV's Griffin
ELSE	Other
ICBM	Weapon that can cross the Atl. or Pac.
MAHJONGG	Game played in "The Joy Luck Club"
SST	Expensive transport
TESTTUBE	Place for a lab experiment
EVEL	First name in daredeviltry
THEASP	Daddy Warbucks's henchman
SEENO	"___ evil"
PYE	Poet laureate before Southey
EERO	Architect Saarinen
ROWER	Crew member
OSO	Spanish bear
ERS	Where some M.D.'s work
THEYALSOSERVE	What standers and waiters do in tennis?
ARGYLE	Sock type
ESTATE	Net worth
JEER	Ridicule
TWOS	Rare bills
GETON	Be friends (with)
GIBB	Singing brother of 60's-90's pop
ETRE	French 101 verb
TSAR	Bygone despot
GATE	Field opening
AOUT	Juillet's follower
THAI	Siamese
HULA	Waikiki wiggle
ALAN	Author Paton
ITSY	Teeny
ITSNOTYOURFAULT	Soothing words to a tennis player?
TCM	Cable sta. for cinema buffs
FAM	Grp. of relatives
BRAG	Crow
CLUB	Black card
ATLAS	Legend's locale
BERG	Composer Alban
METE	Dole (out)
MEANY	Hardly Mr. Nice Guy
