ELSA	Literary lioness
EDITS	Blue-pencils
LATHE	Shop tool
SLEEP	Result of counting sheep
AIRLIFTED	Delivered by a Huey Cobra
AJAR	Open a crack
ASIA	Home of 3.5 billion
JANADEAN	"Surf City" singers, 1963
ANKLE	It's just over a foot
RESORT	Martha's Vineyard, in the summer
RILED	Seeing red
RELIANT	Trustful
IVES	Singer Burl
LOVESTORY	41-week best seller, 1970-71
EKE	Barely manage, with "out"
DEE	Gidget portrayer Sandra
DALI	Painter of limp watches
SANE	Rational
EVOKE	Elicit
ITER	Road, for Romulus
INKS	Signs
LEVEE	"Drove my Chevy to the ___..." (1972 lyric)
THELMAALOUISE	1991 feminist movie
MAR	Deface
UMA	Actress Thurman
SEPIA	Old photo
DERMA	Skin layer
SDS	Radical 60's org.
DENSE	Thickheaded
SAGOS	Powdered starches
FREE	For the taking
ELK	Lodge member
TAN	Give a licking
TEA	4:00, in Kent
TAFT	300-pound President
TORSO	Common sculpture
ABHOR	Hate
FOODCHAIN	Ecological succession
LAP	Dog's drink, or resting spot
PEA	Princess tormentor
THONG	Bikini alternative
HOROSCOPE	Some check it daily
OBOE	Cousin of the English horn
KNEAD	Work, as dough
ADAMAEVE	Early outcasts
DOM	Suffix with star or tsar
ORSO	Approximately
RHODA	Valerie Harper series
APACHES	Side in many a western
ADO	"Much ___ About Nothing"
RYES	Certain grains
SOD	It thickens the plot
PIG	Snowball in "Animal Farm"
ILK	Type
GALENA	Lead ore
AMMO	Rounds, say
MAE	Screen siren West
ORC	Mythical monster
ALARM	Eye opener
RELAX	"Chill!"
ASSET	Balance sheet plus
SKIED	Went down a slope
ELLEN	"Sea of Love" star Barkin
TESLA	Physicist Nikola
HECKLEAJECKLE	Cartoon magpies
ETTU	"___, Brute!"
JAYS	Noisy birds
LOATH	Reluctant
LUG	Blockhead
ONE	Early afternoon
ELEA	Zeno's home
OILS	Takes care of the squeaky wheel
UNITE	Come together
NAVY	Armed Forces option
PEEL	Sunburn woe
GENUS	It's all in the family
AXES	Fires
EDNA	Ferber of "Show Boat"
