BBS	Toy gun shot
BEDEW	Moisten, as grass
BLUTH	Animator Don
SODOI	"Same here"
IBMPC	Machine that was often cloned
IRR	Like the verb "to be": Abbr.
BAA	Sheep's cry
MTN	Everest, e.g.: Abbr.
PICKS	Selects
COHOST	Any regular on "The View," e.g.
ATOM	Molecular matter
AMBIANCE	Atmosphere, as at a restaurant
TARANTINO	Quentin who directed "Inglourious Basterds"
OKOK	"I get it already!"
MOWS	Does some lawn work
ELO	"Don't Bring Me Down" band, for short
RATIO	It may be "golden" in mathematics
MAKO	Kind of shark
DUDERANCH	Where a cowpuncher may work
ENTS	Sinusitis docs
BROW	Sweat spot
ETON	School attended by James Bond ... and Ian Fleming
KODIAKS	Big bears
DIA	1/7 of a Spanish week
WHITERUSSIAN	Drink made with vodka, coffee liqueur and cream
EKCO	Kitchen utensil brand name
RIEN	Nothing, in Paris
USEME	1972 #2 hit for Bill Withers
SKIS	Equipment for Olympian Lindsey Vonn
TANTES	Aunts, in Arles
EACH	Individually
SOHO	Greenwich Village neighbor
ARI	"Exodus" hero
APOP	Individually
RABE	"Streamers" playwright David
IRONJAWED	Exhibiting fierce determination
CEES	Grades in the mid-70s
SYNCS	Matches, as two tapes
CIAO	"Arrivederci"
PARDONMYFRENCH	"Sorry if that rude word offended you"
DEPUTIES	Sheriffs' sidekicks
FDIC	Bank guarantor, for short
RONA	"Five Women" author Jaffe
OBOE	Double-reed woodwind
ENDO	Prefix with -morphism
OHO	"What a pleasant surprise!"
PENPAL	Letter-writing prisoner, perhaps
ALE	Word that can follow pale, brown or cask
LIEDTO	Told fibs
CINQ	Quatre + un
QEII	British monarch beginning in '52
JULIUSCAESAR	Play whence the phrase "the most unkindest cut of all"
UNREP	Overseas diplomat in N.Y.C., say
SANDY	Little Orphan Annie's dog
AGGIE	Texas A&M athlete
ROSES	Rock's Guns N' ___
ALATEEN	Group for young people coping with parental substance abuse
AKIN	Like, with "to"
LIDO	Beach resort at the entrance to the Lagoon of Venice
IAGO	"Othello" villain
KIWI	Green fruit
DRESSINGS	What the last words in 16-, 22-, 36- and 48-Across are
EVA	Model Herzigova
SYR	Six-Day War land: Abbr.
SET	Word with the longest entry in the O.E.D.
IDEE	___ fixe
TEVYE	"Fiddler on the Roof" milkman
DIE	Game cube
NODS	Signs of approval
OPART	Pictures that may be difficult to focus on
YES	Word repeated in a classic "When Harry Met Sally ..." scene
