MOOLA	Green stuff
MODAL	Relating to form
OVATE	Like bluebell leaves
OILOF	___ vitriol (sulfuric acid)
LETITBE	1970 #1 album
ADO	Busy activity
ERAS	Special times
EXCON	Record holder?
REESE	Peewee who wasn't so small
ANNE	Archer of note
SOT	Lush
DISCO	Summer music
DARTS	Bar game
INFRA	Prefix with structural
SEOUL	1988 Olympics site
CALMLY	In a 90-Across way
ORD	California's Fort ___ Dunes
OMS	Chant syllables
ORANGEWINE	Fermented beverage used as an aperitif
MARSHLANDS	Where bulrushes grow
SWEAT	Worry, informally
OVIEDO	Capital of the Asturias kingdom of early Spain
ONALEASH	Tethered
XENO	Prefix with phobia
ANEAR	Lend ___
RAW	Fresh, as recruits
DALTON	007 portrayer
CENTERFOLD	Magazine opening?
ESTOS	These, to Tomás
ARE	"You ___" (Lionel Richie hit)
ATOI	To you, to Yves
AROSE	Popped up
ROLLTOP	Fancy desk
STRUM	Pull strings?
ANSA	Handle: Lat.
AIDE	Governmental appointee
LEFTALONE	Didn't bother
ARB	Wall St. type
ITSALLRIGHT	Reassuring words
ICANSO	Response to a naysayer
ROD	Curtain holder
BREL	Jacques of song
ECO	Prefix with sphere
EEO	Job ad inits.
YODEL	Echo producer, maybe
BASEBALLSEASON	Spring, summer and fall
BOCA	City down the coast from West Palm
ABUT	Adjoin
SITS	Isn't put to use
LYRES	Old strings
SRTAS	Taco belles?: Abbr.
OTC	Like some stocks: Abbr.
NEO	___-con
DEWAR	Scot who invented a vacuum bottle
REST	Recess
OBI	Eastern tie?
STYRON	"The Confessions of Nat Turner" writer
TEA	___ caddy
ANT	Hill climber, of sorts
INE	Like Bruckner's Symphony No. 7
CUTSSHORT	Curtails
SEGAR	Stogie
SALUD	"To your health!"
SECONDHANDS	Fast sweepers
EDIE	Falco of "The Sopranos"
DRE	Rap's Dr. ___
HITOF	___ the party
ATARI	Early name in home computers
ATSEA	Puzzled
PEAPOD	It may be snapped in a kitchen
PEPE	Pet form of José
TRITEST	Ordinary in the extreme
GLO	Day-___
OLD	Prehistoric
SSE	Nautical heading
IMA	"___ Believer"
MAHRE	Big name in Olympics skiing
AMEER	Arab leader
ETA	Sorority letter
ATFAULT	Culpable
ATTA	Lead-in for boy or girl
THEREABOUT	Roughly that
FIELDJUDGE	Football official
TEN	Time for "Taps"
PREAMP	Speaker booster
RESCUE	"Baywatch" event
PANOPLY	Complete array
ORCAS	Sea predators
CRAT	Suffix with Dixie
ASHE	Courtly Arthur
STAR	Pentagram
THIRDDEGREE	Grilling
GAP	Hiatus
RBI	Stat for Jeff Bagwell
HEADFIRST	Precipitately
DEFILADE	Fortified position offering protection from enemy fire
TEE	Summer wear
NAB	Get
SERENE	Unflappable
EHS	Doubting comments
AHA	"I get it!"
ARLES	"Sunflowers" setting
EDOM	Old land south of the Dead Sea
SIR	Paul McCartney, for one
PITCHEROFWATER	Order for a thirsty group
TRUST	Source of income for some
WAG	Jokester
ASARULE	Mostly
EDDIE	"Frasier" dog
ELMORE	Novelist Leonard
RUS	Perennial Olympics powerhouse: Abbr.
PIAS	Lindstrom and Zadora
MAJORLEAGUE	Very important
MAMBA	African biter
EIGER	Trevanian novel "The ___ Sanction"
ARCED	Like some tennis shots
GOAPE	Lose it
BALLGAMES	Much weekend TV fare
BEEFS	Squawks
AERIE	High spot
MACES	Office staffs?
EVENS	Balances (out)
SISSY	Namby-pamby
ABUM	Don Drysdale book "Once ___, Always a Dodger"
MIROS	Some Surrealist art
SEEYA	"Later"
SHIP	Half Moon, e.g.
RAVI	Sitarist Shankar
MOD	Like some 1960's fashion
DOGCATCHER	One who might get a little chow
DCV	Seventh-century date
CHI	McBride of "Boston Public"
DEUCES	They may be wild
ELM	American ___
BUG	Fan
CREEP	Unsavory one
HIFI	Oldies player
ELLENS	Comedy's Cleghorne and others
ATE	Put away
VERDE	Cape ___ Islands
IPSE	___ dixit (allegation)
MESSY	Chaotic
