BASIL	Pesto base
BOA	Neckpiece
ASS	Stubborn sort
SAC	Pouch
IKE	One of the Clantons
LANDING	Touchdown
CLAIM	Insurance office form
CHOSE	Decided
LOFT	Barn area
ARM	Part of a slot machine
IDA	Muckraker Tarbell
MENTION	It may be honorable
ACT	Stop stalling
AWAKEATDAWN	Result of early-morning boating?
COVET	Break one of the Ten Commandments
TEARS	"___ on My Pillow" (1958 hit)
OSAKA	1970 World's Fair site
HORDE	Swarm
WOE	Topic of some tales
ASCENTOFMAN	Aftershave?
TUNA	Salad ingredient
AVA	Gardner of "Mogambo"
DUST	Bite this and die
TAKER	Bet accepter
ANT	Fire ___
PRALINE	Nutty confection
PRADO	Where some Goyas hang
REMUS	Famous twin
ATONEFORSIN	Scarlet?
LINE	Bank annoyance
SPINETS	Grand relatives
SEEDY	Down-at-the-heels
PLAY	Pass or run
RETINA	Pupil's neighbor
PELOTA	Jai alai need
PLANT	Undercover agent
AMONG	"Love ___ the Ruins" (1975 film)
GLEAN	Collect little by little
GROSS	"Eww!"
TEE	Place for a ball
EERIE	Like some coincidences
EMEND	Alter
DUNE	Coastal high spot
BRADY	Bunch name
BEER	It has a head and hops
IDEM	Same as before
ICON	Sect symbol
OSE	Sugar suffix
PEONY	Indiana's state flower
PRELATE	Church dignitary
SCARE	Close call
SHUFFLE	Cut preceder
FOREST	Arden, for one
ORO	Acapulco gold
SHOWIN	Receive
STLO	Capital of Manche
SCORERS	Ballpark figures
SCALE	Union wage
CABER	Scots toss it
STUNNED	In a daze
SADAT	Camp David accords signer
CAROL	Song of joy
CALF	A little lower
CARR	Mystery writer John Dickson ___
ABS	Bodybuilder's pride
AHEADOFTIME	Henry Luce, notably?
HEX	Bad spell
ERE	Afore
TUX	Prom rental
INT	Bankbook entry: Abbr.
MAR	Blemish
ERA	Span of history
LEI	Neckpiece
TERRA	Mare's partner
LUNAR	Like some 1960's-70's missions
ERN	East end?
EXERT	Put into use
EXTRA	A face in the crowd?
